subgroup,Race,Sex,Age,diseases,count,crude_SE,population,Age_label,Sex_label,Race_label
12,4,1,2,BC,0,0,3056580.826,35-44,Female,OTH
13,1,2,2,BC,0,0,3612322.795,35-44,Male,NHW
14,2,2,2,BC,0,0,2747835.288,35-44,Male,NHB
15,3,2,2,BC,0,0,3087455.38,35-44,Male,HIS
16,4,2,2,BC,0,0,2840458.95,35-44,Male,OTH
17,1,1,3,BC,17736,0,4075441.102,45-54,Female,NHW
18,2,1,3,BC,3482,0,3334451.81,45-54,Female,NHB
19,3,1,3,BC,2498,0,3457950.026,45-54,Female,HIS
20,4,1,3,BC,1404,0,3396200.918,45-54,Female,OTH
21,1,2,3,BC,0,0,3859319.225,45-54,Male,NHW
22,2,2,3,BC,0,0,3210953.595,45-54,Male,NHB
23,3,2,3,BC,0,0,2963957.165,45-54,Male,HIS
24,4,2,3,BC,0,0,3550573.687,45-54,Male,OTH
25,1,1,4,BC,46159,0,5248674.146,55-64,Female,NHW
26,2,1,4,BC,7799,0,5372172.361,55-64,Female,NHB
27,3,1,4,BC,4843,0,4939928.608,55-64,Female,HIS
28,4,1,4,BC,2970,0,4075441.102,55-64,Female,OTH
29,1,2,4,BC,0,0,5742667.007,55-64,Male,NHW
30,2,2,4,BC,0,0,4723806.731,55-64,Male,NHB
31,3,2,4,BC,0,0,4569433.962,55-64,Male,HIS
32,4,2,4,BC,0,0,3334451.81,55-64,Male,OTH
33,1,1,5,BC,44316,0,4939928.608,65-74,Female,NHW
34,2,1,5,BC,5080,0,3087455.38,65-74,Female,NHB
35,3,1,5,BC,3083.5,0,3056580.826,65-74,Female,HIS
36,4,1,5,BC,1782,0,2037720.551,65-74,Female,OTH
37,1,2,5,BC,0,0,5804416.114,65-74,Male,NHW
38,2,2,5,BC,0,0,3581448.241,65-74,Male,NHB
39,3,2,5,BC,0,0,2747835.288,65-74,Male,HIS
40,4,2,5,BC,0,0,2068595.105,65-74,Male,OTH
41,1,1,6,BC,44316,0,6792401.836,75+,Female,NHW
42,2,1,6,BC,5080,0,2253842.427,75+,Female,NHB
43,3,1,6,BC,3083.5,0,1204107.598,75+,Female,HIS
44,4,1,6,BC,1782,0,1296731.26,75+,Female,OTH
45,1,2,6,BC,0,0,7162896.482,75+,Male,NHW
46,2,2,6,BC,0,0,1914222.336,75+,Male,NHB
47,3,2,6,BC,0,0,987985.7216,75+,Male,HIS
48,4,2,6,BC,0,0,1080609.383,75+,Male,OTH
1,1,1,1,CC,1302,0,4445935.747,25-34,Female,NHW
2,2,1,1,CC,298.5,0,3828444.671,25-34,Female,NHB
3,3,1,1,CC,320.5,0,3056580.826,25-34,Female,HIS
4,4,1,1,CC,141,0,3674071.902,25-34,Female,OTH
5,1,2,1,CC,1439,0,4415061.193,25-34,Male,NHW
6,2,2,1,CC,289,0,2871333.503,25-34,Male,NHB
7,3,2,1,CC,347.5,0,3087455.38,25-34,Male,HIS
8,4,2,1,CC,129,0,3457950.026,25-34,Male,OTH
9,1,1,2,CC,1302,0,4476810.301,35-44,Female,NHW
10,2,1,2,CC,298.5,0,3427075.472,35-44,Female,NHB
11,3,1,2,CC,320.5,0,4260688.424,35-44,Female,HIS
12,4,1,2,CC,141,0,3056580.826,35-44,Female,OTH
13,1,2,2,CC,1439,0,3612322.795,35-44,Male,NHW
14,2,2,2,CC,289,0,2747835.288,35-44,Male,NHB
15,3,2,2,CC,347.5,0,3087455.38,35-44,Male,HIS
16,4,2,2,CC,129,0,2840458.95,35-44,Male,OTH
17,1,1,3,CC,5876,0,4075441.102,45-54,Female,NHW
18,2,1,3,CC,1520,0,3334451.81,45-54,Female,NHB
19,3,1,3,CC,1090,0,3457950.026,45-54,Female,HIS
20,4,1,3,CC,547,0,3396200.918,45-54,Female,OTH
21,1,2,3,CC,7608,0,3859319.225,45-54,Male,NHW
22,2,2,3,CC,1550,0,3210953.595,45-54,Male,NHB
23,3,2,3,CC,1245,0,2963957.165,45-54,Male,HIS
24,4,2,3,CC,579,0,3550573.687,45-54,Male,OTH
25,1,1,4,CC,9027,0,5248674.146,55-64,Female,NHW
26,2,1,4,CC,2193,0,5372172.361,55-64,Female,NHB
27,3,1,4,CC,1278,0,4939928.608,55-64,Female,HIS
28,4,1,4,CC,672,0,4075441.102,55-64,Female,OTH
29,1,2,4,CC,12706,0,5742667.007,55-64,Male,NHW
30,2,2,4,CC,2595,0,4723806.731,55-64,Male,NHB
31,3,2,4,CC,1745,0,4569433.962,55-64,Male,HIS
32,4,2,4,CC,893,0,3334451.81,55-64,Male,OTH
33,1,1,5,CC,15195.5,0,4939928.608,65-74,Female,NHW
34,2,1,5,CC,1989,0,3087455.38,65-74,Female,NHB
35,3,1,5,CC,1252.5,0,3056580.826,65-74,Female,HIS
36,4,1,5,CC,732,0,2037720.551,65-74,Female,OTH
37,1,2,5,CC,15124,0,5804416.114,65-74,Male,NHW
38,2,2,5,CC,1862,0,3581448.241,65-74,Male,NHB
39,3,2,5,CC,1473.5,0,2747835.288,65-74,Male,HIS
40,4,2,5,CC,745,0,2068595.105,65-74,Male,OTH
41,1,1,6,CC,15195.5,0,6792401.836,75+,Female,NHW
42,2,1,6,CC,1989,0,2253842.427,75+,Female,NHB
43,3,1,6,CC,1252.5,0,1204107.598,75+,Female,HIS
44,4,1,6,CC,732,0,1296731.26,75+,Female,OTH
45,1,2,6,CC,15124,0,7162896.482,75+,Male,NHW
46,2,2,6,CC,1862,0,1914222.336,75+,Male,NHB
47,3,2,6,CC,1473.5,0,987985.7216,75+,Male,HIS
48,4,2,6,CC,745,0,1080609.383,75+,Male,OTH
1,1,1,1,CM,72,0,4445935.747,25-34,Female,NHW
2,2,1,1,CM,43,0,3828444.671,25-34,Female,NHB
3,3,1,1,CM,21,0,3056580.826,25-34,Female,HIS
4,4,1,1,CM,12,0,3674071.902,25-34,Female,OTH
5,1,2,1,CM,191,0,4415061.193,25-34,Male,NHW
6,2,2,1,CM,96,0,2871333.503,25-34,Male,NHB
7,3,2,1,CM,45,0,3087455.38,25-34,Male,HIS
8,4,2,1,CM,25,0,3457950.026,25-34,Male,OTH
9,1,1,2,CM,168,0,4476810.301,35-44,Female,NHW
10,2,1,2,CM,117,0,3427075.472,35-44,Female,NHB
11,3,1,2,CM,29,0,4260688.424,35-44,Female,HIS
12,4,1,2,CM,12,0,3056580.826,35-44,Female,OTH
13,1,2,2,CM,395,0,3612322.795,35-44,Male,NHW
14,2,2,2,CM,228,0,2747835.288,35-44,Male,NHB
15,3,2,2,CM,79,0,3087455.38,35-44,Male,HIS
16,4,2,2,CM,47,0,2840458.95,35-44,Male,OTH
17,1,1,3,CM,399,0,4075441.102,45-54,Female,NHW
18,2,1,3,CM,225,0,3334451.81,45-54,Female,NHB
19,3,1,3,CM,47,0,3457950.026,45-54,Female,HIS
20,4,1,3,CM,32,0,3396200.918,45-54,Female,OTH
21,1,2,3,CM,938,0,3859319.225,45-54,Male,NHW
22,2,2,3,CM,413,0,3210953.595,45-54,Male,NHB
23,3,2,3,CM,141,0,2963957.165,45-54,Male,HIS
24,4,2,3,CM,50,0,3550573.687,45-54,Male,OTH
25,1,1,4,CM,653,0,5248674.146,55-64,Female,NHW
26,2,1,4,CM,308,0,5372172.361,55-64,Female,NHB
27,3,1,4,CM,73,0,4939928.608,55-64,Female,HIS
28,4,1,4,CM,41,0,4075441.102,55-64,Female,OTH
29,1,2,4,CM,1507,0,5742667.007,55-64,Male,NHW
30,2,2,4,CM,535,0,4723806.731,55-64,Male,NHB
31,3,2,4,CM,143,0,4569433.962,55-64,Male,HIS
32,4,2,4,CM,69,0,3334451.81,55-64,Male,OTH
33,1,1,5,CM,968,0,4939928.608,65-74,Female,NHW
34,2,1,5,CM,284,0,3087455.38,65-74,Female,NHB
35,3,1,5,CM,86,0,3056580.826,65-74,Female,HIS
36,4,1,5,CM,48,0,2037720.551,65-74,Female,OTH
37,1,2,5,CM,1845,0,5804416.114,65-74,Male,NHW
38,2,2,5,CM,456,0,3581448.241,65-74,Male,NHB
39,3,2,5,CM,156,0,2747835.288,65-74,Male,HIS
40,4,2,5,CM,65,0,2068595.105,65-74,Male,OTH
41,1,1,6,CM,4527,0,6792401.836,75+,Female,NHW
42,2,1,6,CM,576,0,2253842.427,75+,Female,NHB
43,3,1,6,CM,305,0,1204107.598,75+,Female,HIS
44,4,1,6,CM,146,0,1296731.26,75+,Female,OTH
45,1,2,6,CM,5111,0,7162896.482,75+,Male,NHW
46,2,2,6,CM,544,0,1914222.336,75+,Male,NHB
47,3,2,6,CM,292,0,987985.7216,75+,Male,HIS
48,4,2,6,CM,155,0,1080609.383,75+,Male,OTH
1,1,1,1,CM_medBMI,72,0,4445935.747,25-34,Female,NHW
2,2,1,1,CM_medBMI,43,0,3828444.671,25-34,Female,NHB
3,3,1,1,CM_medBMI,21,0,3056580.826,25-34,Female,HIS
4,4,1,1,CM_medBMI,12,0,3674071.902,25-34,Female,OTH
5,1,2,1,CM_medBMI,191,0,4415061.193,25-34,Male,NHW
6,2,2,1,CM_medBMI,96,0,2871333.503,25-34,Male,NHB
7,3,2,1,CM_medBMI,45,0,3087455.38,25-34,Male,HIS
8,4,2,1,CM_medBMI,25,0,3457950.026,25-34,Male,OTH
9,1,1,2,CM_medBMI,168,0,4476810.301,35-44,Female,NHW
10,2,1,2,CM_medBMI,117,0,3427075.472,35-44,Female,NHB
11,3,1,2,CM_medBMI,29,0,4260688.424,35-44,Female,HIS
12,4,1,2,CM_medBMI,12,0,3056580.826,35-44,Female,OTH
13,1,2,2,CM_medBMI,395,0,3612322.795,35-44,Male,NHW
14,2,2,2,CM_medBMI,228,0,2747835.288,35-44,Male,NHB
15,3,2,2,CM_medBMI,79,0,3087455.38,35-44,Male,HIS
16,4,2,2,CM_medBMI,47,0,2840458.95,35-44,Male,OTH
17,1,1,3,CM_medBMI,399,0,4075441.102,45-54,Female,NHW
18,2,1,3,CM_medBMI,225,0,3334451.81,45-54,Female,NHB
19,3,1,3,CM_medBMI,47,0,3457950.026,45-54,Female,HIS
20,4,1,3,CM_medBMI,32,0,3396200.918,45-54,Female,OTH
21,1,2,3,CM_medBMI,938,0,3859319.225,45-54,Male,NHW
22,2,2,3,CM_medBMI,413,0,3210953.595,45-54,Male,NHB
23,3,2,3,CM_medBMI,141,0,2963957.165,45-54,Male,HIS
24,4,2,3,CM_medBMI,50,0,3550573.687,45-54,Male,OTH
25,1,1,4,CM_medBMI,653,0,5248674.146,55-64,Female,NHW
26,2,1,4,CM_medBMI,308,0,5372172.361,55-64,Female,NHB
27,3,1,4,CM_medBMI,73,0,4939928.608,55-64,Female,HIS
28,4,1,4,CM_medBMI,41,0,4075441.102,55-64,Female,OTH
29,1,2,4,CM_medBMI,1507,0,5742667.007,55-64,Male,NHW
30,2,2,4,CM_medBMI,535,0,4723806.731,55-64,Male,NHB
31,3,2,4,CM_medBMI,143,0,4569433.962,55-64,Male,HIS
32,4,2,4,CM_medBMI,69,0,3334451.81,55-64,Male,OTH
33,1,1,5,CM_medBMI,968,0,4939928.608,65-74,Female,NHW
34,2,1,5,CM_medBMI,284,0,3087455.38,65-74,Female,NHB
35,3,1,5,CM_medBMI,86,0,3056580.826,65-74,Female,HIS
36,4,1,5,CM_medBMI,48,0,2037720.551,65-74,Female,OTH
37,1,2,5,CM_medBMI,1845,0,5804416.114,65-74,Male,NHW
38,2,2,5,CM_medBMI,456,0,3581448.241,65-74,Male,NHB
39,3,2,5,CM_medBMI,156,0,2747835.288,65-74,Male,HIS
40,4,2,5,CM_medBMI,65,0,2068595.105,65-74,Male,OTH
41,1,1,6,CM_medBMI,4527,0,6792401.836,75+,Female,NHW
42,2,1,6,CM_medBMI,576,0,2253842.427,75+,Female,NHB
43,3,1,6,CM_medBMI,305,0,1204107.598,75+,Female,HIS
44,4,1,6,CM_medBMI,146,0,1296731.26,75+,Female,OTH
45,1,2,6,CM_medBMI,5111,0,7162896.482,75+,Male,NHW
46,2,2,6,CM_medBMI,544,0,1914222.336,75+,Male,NHB
47,3,2,6,CM_medBMI,292,0,987985.7216,75+,Male,HIS
48,4,2,6,CM_medBMI,155,0,1080609.383,75+,Male,OTH
1,1,1,1,CM_medSBP,72,0,4445935.747,25-34,Female,NHW
2,2,1,1,CM_medSBP,43,0,3828444.671,25-34,Female,NHB
3,3,1,1,CM_medSBP,21,0,3056580.826,25-34,Female,HIS
4,4,1,1,CM_medSBP,12,0,3674071.902,25-34,Female,OTH
5,1,2,1,CM_medSBP,191,0,4415061.193,25-34,Male,NHW
6,2,2,1,CM_medSBP,96,0,2871333.503,25-34,Male,NHB
7,3,2,1,CM_medSBP,45,0,3087455.38,25-34,Male,HIS
8,4,2,1,CM_medSBP,25,0,3457950.026,25-34,Male,OTH
9,1,1,2,CM_medSBP,168,0,4476810.301,35-44,Female,NHW
10,2,1,2,CM_medSBP,117,0,3427075.472,35-44,Female,NHB
11,3,1,2,CM_medSBP,29,0,4260688.424,35-44,Female,HIS
12,4,1,2,CM_medSBP,12,0,3056580.826,35-44,Female,OTH
13,1,2,2,CM_medSBP,395,0,3612322.795,35-44,Male,NHW
14,2,2,2,CM_medSBP,228,0,2747835.288,35-44,Male,NHB
15,3,2,2,CM_medSBP,79,0,3087455.38,35-44,Male,HIS
16,4,2,2,CM_medSBP,47,0,2840458.95,35-44,Male,OTH
17,1,1,3,CM_medSBP,399,0,4075441.102,45-54,Female,NHW
18,2,1,3,CM_medSBP,225,0,3334451.81,45-54,Female,NHB
19,3,1,3,CM_medSBP,47,0,3457950.026,45-54,Female,HIS
20,4,1,3,CM_medSBP,32,0,3396200.918,45-54,Female,OTH
21,1,2,3,CM_medSBP,938,0,3859319.225,45-54,Male,NHW
22,2,2,3,CM_medSBP,413,0,3210953.595,45-54,Male,NHB
23,3,2,3,CM_medSBP,141,0,2963957.165,45-54,Male,HIS
24,4,2,3,CM_medSBP,50,0,3550573.687,45-54,Male,OTH
25,1,1,4,CM_medSBP,653,0,5248674.146,55-64,Female,NHW
26,2,1,4,CM_medSBP,308,0,5372172.361,55-64,Female,NHB
27,3,1,4,CM_medSBP,73,0,4939928.608,55-64,Female,HIS
28,4,1,4,CM_medSBP,41,0,4075441.102,55-64,Female,OTH
29,1,2,4,CM_medSBP,1507,0,5742667.007,55-64,Male,NHW
30,2,2,4,CM_medSBP,535,0,4723806.731,55-64,Male,NHB
31,3,2,4,CM_medSBP,143,0,4569433.962,55-64,Male,HIS
32,4,2,4,CM_medSBP,69,0,3334451.81,55-64,Male,OTH
33,1,1,5,CM_medSBP,968,0,4939928.608,65-74,Female,NHW
34,2,1,5,CM_medSBP,284,0,3087455.38,65-74,Female,NHB
35,3,1,5,CM_medSBP,86,0,3056580.826,65-74,Female,HIS
36,4,1,5,CM_medSBP,48,0,2037720.551,65-74,Female,OTH
37,1,2,5,CM_medSBP,1845,0,5804416.114,65-74,Male,NHW
38,2,2,5,CM_medSBP,456,0,3581448.241,65-74,Male,NHB
39,3,2,5,CM_medSBP,156,0,2747835.288,65-74,Male,HIS
40,4,2,5,CM_medSBP,65,0,2068595.105,65-74,Male,OTH
41,1,1,6,CM_medSBP,4527,0,6792401.836,75+,Female,NHW
42,2,1,6,CM_medSBP,576,0,2253842.427,75+,Female,NHB
43,3,1,6,CM_medSBP,305,0,1204107.598,75+,Female,HIS
44,4,1,6,CM_medSBP,146,0,1296731.26,75+,Female,OTH
45,1,2,6,CM_medSBP,5111,0,7162896.482,75+,Male,NHW
46,2,2,6,CM_medSBP,544,0,1914222.336,75+,Male,NHB
47,3,2,6,CM_medSBP,292,0,987985.7216,75+,Male,HIS
48,4,2,6,CM_medSBP,155,0,1080609.383,75+,Male,OTH
1,1,1,1,DIAB,127,0,4445935.747,25-34,Female,NHW
2,2,1,1,DIAB,81,0,3828444.671,25-34,Female,NHB
3,3,1,1,DIAB,31,0,3056580.826,25-34,Female,HIS
4,4,1,1,DIAB,13,0,3674071.902,25-34,Female,OTH
5,1,2,1,DIAB,190,0,4415061.193,25-34,Male,NHW
6,2,2,1,DIAB,96,0,2871333.503,25-34,Male,NHB
7,3,2,1,DIAB,50,0,3087455.38,25-34,Male,HIS
8,4,2,1,DIAB,10,0,3457950.026,25-34,Male,OTH
9,1,1,2,DIAB,378,0,4476810.301,35-44,Female,NHW
10,2,1,2,DIAB,182,0,3427075.472,35-44,Female,NHB
11,3,1,2,DIAB,65,0,4260688.424,35-44,Female,HIS
12,4,1,2,DIAB,18,0,3056580.826,35-44,Female,OTH
13,1,2,2,DIAB,602,0,3612322.795,35-44,Male,NHW
14,2,2,2,DIAB,279,0,2747835.288,35-44,Male,NHB
15,3,2,2,DIAB,140,0,3087455.38,35-44,Male,HIS
16,4,2,2,DIAB,60,0,2840458.95,35-44,Male,OTH
17,1,1,3,DIAB,1151,0,4075441.102,45-54,Female,NHW
18,2,1,3,DIAB,561,0,3334451.81,45-54,Female,NHB
19,3,1,3,DIAB,216,0,3457950.026,45-54,Female,HIS
20,4,1,3,DIAB,94,0,3396200.918,45-54,Female,OTH
21,1,2,3,DIAB,2055,0,3859319.225,45-54,Male,NHW
22,2,2,3,DIAB,754,0,3210953.595,45-54,Male,NHB
23,3,2,3,DIAB,401,0,2963957.165,45-54,Male,HIS
24,4,2,3,DIAB,178,0,3550573.687,45-54,Male,OTH
25,1,1,4,DIAB,2704,0,5248674.146,55-64,Female,NHW
26,2,1,4,DIAB,1092,0,5372172.361,55-64,Female,NHB
27,3,1,4,DIAB,492,0,4939928.608,55-64,Female,HIS
28,4,1,4,DIAB,209,0,4075441.102,55-64,Female,OTH
29,1,2,4,DIAB,4726,0,5742667.007,55-64,Male,NHW
30,2,2,4,DIAB,1373,0,4723806.731,55-64,Male,NHB
31,3,2,4,DIAB,729,0,4569433.962,55-64,Male,HIS
32,4,2,4,DIAB,334,0,3334451.81,55-64,Male,OTH
33,1,1,5,DIAB,4136,0,4939928.608,65-74,Female,NHW
34,2,1,5,DIAB,1391,0,3087455.38,65-74,Female,NHB
35,3,1,5,DIAB,701,0,3056580.826,65-74,Female,HIS
36,4,1,5,DIAB,322,0,2037720.551,65-74,Female,OTH
37,1,2,5,DIAB,6131,0,5804416.114,65-74,Male,NHW
38,2,2,5,DIAB,1473,0,3581448.241,65-74,Male,NHB
39,3,2,5,DIAB,825,0,2747835.288,65-74,Male,HIS
40,4,2,5,DIAB,351,0,2068595.105,65-74,Male,OTH
41,1,1,6,DIAB,13037,0,6792401.836,75+,Female,NHW
42,2,1,6,DIAB,2939,0,2253842.427,75+,Female,NHB
43,3,1,6,DIAB,1667,0,1204107.598,75+,Female,HIS
44,4,1,6,DIAB,743,0,1296731.26,75+,Female,OTH
45,1,2,6,DIAB,11342,0,7162896.482,75+,Male,NHW
46,2,2,6,DIAB,1631,0,1914222.336,75+,Male,NHB
47,3,2,6,DIAB,1234,0,987985.7216,75+,Male,HIS
48,4,2,6,DIAB,600,0,1080609.383,75+,Male,OTH
1,1,1,1,DIAB_medBMI,127,0,4445935.747,25-34,Female,NHW
2,2,1,1,DIAB_medBMI,81,0,3828444.671,25-34,Female,NHB
3,3,1,1,DIAB_medBMI,31,0,3056580.826,25-34,Female,HIS
4,4,1,1,DIAB_medBMI,13,0,3674071.902,25-34,Female,OTH
5,1,2,1,DIAB_medBMI,190,0,4415061.193,25-34,Male,NHW
6,2,2,1,DIAB_medBMI,96,0,2871333.503,25-34,Male,NHB
7,3,2,1,DIAB_medBMI,50,0,3087455.38,25-34,Male,HIS
8,4,2,1,DIAB_medBMI,10,0,3457950.026,25-34,Male,OTH
9,1,1,2,DIAB_medBMI,378,0,4476810.301,35-44,Female,NHW
10,2,1,2,DIAB_medBMI,182,0,3427075.472,35-44,Female,NHB
11,3,1,2,DIAB_medBMI,65,0,4260688.424,35-44,Female,HIS
12,4,1,2,DIAB_medBMI,18,0,3056580.826,35-44,Female,OTH
13,1,2,2,DIAB_medBMI,602,0,3612322.795,35-44,Male,NHW
14,2,2,2,DIAB_medBMI,279,0,2747835.288,35-44,Male,NHB
15,3,2,2,DIAB_medBMI,140,0,3087455.38,35-44,Male,HIS
16,4,2,2,DIAB_medBMI,60,0,2840458.95,35-44,Male,OTH
17,1,1,3,DIAB_medBMI,1151,0,4075441.102,45-54,Female,NHW
18,2,1,3,DIAB_medBMI,561,0,3334451.81,45-54,Female,NHB
19,3,1,3,DIAB_medBMI,216,0,3457950.026,45-54,Female,HIS
20,4,1,3,DIAB_medBMI,94,0,3396200.918,45-54,Female,OTH
21,1,2,3,DIAB_medBMI,2055,0,3859319.225,45-54,Male,NHW
22,2,2,3,DIAB_medBMI,754,0,3210953.595,45-54,Male,NHB
23,3,2,3,DIAB_medBMI,401,0,2963957.165,45-54,Male,HIS
24,4,2,3,DIAB_medBMI,178,0,3550573.687,45-54,Male,OTH
25,1,1,4,DIAB_medBMI,2704,0,5248674.146,55-64,Female,NHW
26,2,1,4,DIAB_medBMI,1092,0,5372172.361,55-64,Female,NHB
27,3,1,4,DIAB_medBMI,492,0,4939928.608,55-64,Female,HIS
28,4,1,4,DIAB_medBMI,209,0,4075441.102,55-64,Female,OTH
29,1,2,4,DIAB_medBMI,4726,0,5742667.007,55-64,Male,NHW
30,2,2,4,DIAB_medBMI,1373,0,4723806.731,55-64,Male,NHB
31,3,2,4,DIAB_medBMI,729,0,4569433.962,55-64,Male,HIS
32,4,2,4,DIAB_medBMI,334,0,3334451.81,55-64,Male,OTH
33,1,1,5,DIAB_medBMI,4136,0,4939928.608,65-74,Female,NHW
34,2,1,5,DIAB_medBMI,1391,0,3087455.38,65-74,Female,NHB
35,3,1,5,DIAB_medBMI,701,0,3056580.826,65-74,Female,HIS
36,4,1,5,DIAB_medBMI,322,0,2037720.551,65-74,Female,OTH
37,1,2,5,DIAB_medBMI,6131,0,5804416.114,65-74,Male,NHW
38,2,2,5,DIAB_medBMI,1473,0,3581448.241,65-74,Male,NHB
39,3,2,5,DIAB_medBMI,825,0,2747835.288,65-74,Male,HIS
40,4,2,5,DIAB_medBMI,351,0,2068595.105,65-74,Male,OTH
41,1,1,6,DIAB_medBMI,13037,0,6792401.836,75+,Female,NHW
42,2,1,6,DIAB_medBMI,2939,0,2253842.427,75+,Female,NHB
43,3,1,6,DIAB_medBMI,1667,0,1204107.598,75+,Female,HIS
44,4,1,6,DIAB_medBMI,743,0,1296731.26,75+,Female,OTH
45,1,2,6,DIAB_medBMI,11342,0,7162896.482,75+,Male,NHW
46,2,2,6,DIAB_medBMI,1631,0,1914222.336,75+,Male,NHB
47,3,2,6,DIAB_medBMI,1234,0,987985.7216,75+,Male,HIS
48,4,2,6,DIAB_medBMI,600,0,1080609.383,75+,Male,OTH
1,1,1,1,DIAB_medSBP,127,0,4445935.747,25-34,Female,NHW
2,2,1,1,DIAB_medSBP,81,0,3828444.671,25-34,Female,NHB
3,3,1,1,DIAB_medSBP,31,0,3056580.826,25-34,Female,HIS
4,4,1,1,DIAB_medSBP,13,0,3674071.902,25-34,Female,OTH
5,1,2,1,DIAB_medSBP,190,0,4415061.193,25-34,Male,NHW
6,2,2,1,DIAB_medSBP,96,0,2871333.503,25-34,Male,NHB
7,3,2,1,DIAB_medSBP,50,0,3087455.38,25-34,Male,HIS
8,4,2,1,DIAB_medSBP,10,0,3457950.026,25-34,Male,OTH
9,1,1,2,DIAB_medSBP,378,0,4476810.301,35-44,Female,NHW
10,2,1,2,DIAB_medSBP,182,0,3427075.472,35-44,Female,NHB
11,3,1,2,DIAB_medSBP,65,0,4260688.424,35-44,Female,HIS
12,4,1,2,DIAB_medSBP,18,0,3056580.826,35-44,Female,OTH
13,1,2,2,DIAB_medSBP,602,0,3612322.795,35-44,Male,NHW
14,2,2,2,DIAB_medSBP,279,0,2747835.288,35-44,Male,NHB
15,3,2,2,DIAB_medSBP,140,0,3087455.38,35-44,Male,HIS
16,4,2,2,DIAB_medSBP,60,0,2840458.95,35-44,Male,OTH
17,1,1,3,DIAB_medSBP,1151,0,4075441.102,45-54,Female,NHW
18,2,1,3,DIAB_medSBP,561,0,3334451.81,45-54,Female,NHB
19,3,1,3,DIAB_medSBP,216,0,3457950.026,45-54,Female,HIS
20,4,1,3,DIAB_medSBP,94,0,3396200.918,45-54,Female,OTH
21,1,2,3,DIAB_medSBP,2055,0,3859319.225,45-54,Male,NHW
22,2,2,3,DIAB_medSBP,754,0,3210953.595,45-54,Male,NHB
23,3,2,3,DIAB_medSBP,401,0,2963957.165,45-54,Male,HIS
24,4,2,3,DIAB_medSBP,178,0,3550573.687,45-54,Male,OTH
25,1,1,4,DIAB_medSBP,2704,0,5248674.146,55-64,Female,NHW
26,2,1,4,DIAB_medSBP,1092,0,5372172.361,55-64,Female,NHB
27,3,1,4,DIAB_medSBP,492,0,4939928.608,55-64,Female,HIS
28,4,1,4,DIAB_medSBP,209,0,4075441.102,55-64,Female,OTH
29,1,2,4,DIAB_medSBP,4726,0,5742667.007,55-64,Male,NHW
30,2,2,4,DIAB_medSBP,1373,0,4723806.731,55-64,Male,NHB
31,3,2,4,DIAB_medSBP,729,0,4569433.962,55-64,Male,HIS
32,4,2,4,DIAB_medSBP,334,0,3334451.81,55-64,Male,OTH
33,1,1,5,DIAB_medSBP,4136,0,4939928.608,65-74,Female,NHW
34,2,1,5,DIAB_medSBP,1391,0,3087455.38,65-74,Female,NHB
35,3,1,5,DIAB_medSBP,701,0,3056580.826,65-74,Female,HIS
36,4,1,5,DIAB_medSBP,322,0,2037720.551,65-74,Female,OTH
37,1,2,5,DIAB_medSBP,6131,0,5804416.114,65-74,Male,NHW
38,2,2,5,DIAB_medSBP,1473,0,3581448.241,65-74,Male,NHB
39,3,2,5,DIAB_medSBP,825,0,2747835.288,65-74,Male,HIS
40,4,2,5,DIAB_medSBP,351,0,2068595.105,65-74,Male,OTH
41,1,1,6,DIAB_medSBP,13037,0,6792401.836,75+,Female,NHW
42,2,1,6,DIAB_medSBP,2939,0,2253842.427,75+,Female,NHB
43,3,1,6,DIAB_medSBP,1667,0,1204107.598,75+,Female,HIS
44,4,1,6,DIAB_medSBP,743,0,1296731.26,75+,Female,OTH
45,1,2,6,DIAB_medSBP,11342,0,7162896.482,75+,Male,NHW
46,2,2,6,DIAB_medSBP,1631,0,1914222.336,75+,Male,NHB
47,3,2,6,DIAB_medSBP,1234,0,987985.7216,75+,Male,HIS
48,4,2,6,DIAB_medSBP,600,0,1080609.383,75+,Male,OTH
1,1,1,1,ECA,18,0,4445935.747,25-34,Female,NHW
2,2,1,1,ECA,4.5,0,3828444.671,25-34,Female,NHB
3,3,1,1,ECA,5.5,0,3056580.826,25-34,Female,HIS
4,4,1,1,ECA,2.5,0,3674071.902,25-34,Female,OTH
5,1,2,1,ECA,95.5,0,4415061.193,25-34,Male,NHW
6,2,2,1,ECA,14,0,2871333.503,25-34,Male,NHB
7,3,2,1,ECA,25.5,0,3087455.38,25-34,Male,HIS
8,4,2,1,ECA,11,0,3457950.026,25-34,Male,OTH
9,1,1,2,ECA,18,0,4476810.301,35-44,Female,NHW
10,2,1,2,ECA,4.5,0,3427075.472,35-44,Female,NHB
11,3,1,2,ECA,5.5,0,4260688.424,35-44,Female,HIS
12,4,1,2,ECA,2.5,0,3056580.826,35-44,Female,OTH
13,1,2,2,ECA,95.5,0,3612322.795,35-44,Male,NHW
14,2,2,2,ECA,14,0,2747835.288,35-44,Male,NHB
15,3,2,2,ECA,25.5,0,3087455.38,35-44,Male,HIS
16,4,2,2,ECA,11,0,2840458.95,35-44,Male,OTH
17,1,1,3,ECA,224,0,4075441.102,45-54,Female,NHW
18,2,1,3,ECA,55,0,3334451.81,45-54,Female,NHB
19,3,1,3,ECA,36,0,3457950.026,45-54,Female,HIS
20,4,1,3,ECA,23,0,3396200.918,45-54,Female,OTH
