subgroup,diseases,count,Grp,population,crude_rate,crude_SE
41,BC,9780,75+ years Female Non-Hispanic White,7291884.182,134.122,0
42,BC,1064,75+ years Female Non-Hispanic Black,2419579.751,43.975,0
43,BC,1005,75+ years Female Hispanic (All Races),1292652.196,77.747,0
44,BC,1050,75+ years Female OTHER,1392086.98,75.426,0
45,BC,0,75+ years Male Non-Hispanic White,7689623.319,0,0
46,BC,0,75+ years Male Non-Hispanic Black,2054985.542,0,0
47,BC,0,75+ years Male Hispanic (All Races),1060637.699,0,0
48,BC,0,75+ years Male OTHER,1160072.484,0,0
1,CC,150,25-34 years Female Non-Hispanic White,4772869.646,3.143,0
2,CC,33,25-34 years Female Non-Hispanic Black,4109971.084,0.803,0
3,CC,91,25-34 years Female Hispanic (All Races),3281347.882,2.773,0
4,CC,37,25-34 years Female OTHER,3944246.444,0.938,0
5,CC,148,25-34 years Male Non-Hispanic White,4739724.718,3.123,0
6,CC,30,25-34 years Male Non-Hispanic Black,3082478.313,0.973,0
7,CC,91,25-34 years Male Hispanic (All Races),3314492.81,2.746,0
8,CC,28,25-34 years Male OTHER,3712231.947,0.754,0
9,CC,425,35-44 years Female Non-Hispanic White,4806014.575,8.843,0
10,CC,138,35-44 years Female Non-Hispanic Black,3679087.019,3.751,0
11,CC,186,35-44 years Female Hispanic (All Races),4574000.078,4.066,0
12,CC,101,35-44 years Female OTHER,3281347.882,3.078,0
13,CC,524,35-44 years Male Non-Hispanic White,3877956.588,13.512,0
14,CC,114,35-44 years Male Non-Hispanic Black,2949898.601,3.865,0
15,CC,205,35-44 years Male Hispanic (All Races),3314492.81,6.185,0
16,CC,122,35-44 years Male OTHER,3049333.385,4.001,0
17,CC,1221,45-54 years Female Non-Hispanic White,4375130.509,27.908,0
18,CC,335,45-54 years Female Non-Hispanic Black,3579652.235,9.358,0
19,CC,475,45-54 years Female Hispanic (All Races),3712231.947,12.796,0
20,CC,317,45-54 years Female OTHER,3645942.091,8.695,0
21,CC,1681,45-54 years Male Non-Hispanic White,4143116.013,40.573,0
22,CC,376,45-54 years Male Non-Hispanic Black,3447072.522,10.908,0
23,CC,558,45-54 years Male Hispanic (All Races),3181913.098,17.537,0
24,CC,417,45-54 years Male OTHER,3811666.732,10.94,0
25,CC,2017,55-64 years Female Non-Hispanic White,5634637.777,35.796,0
26,CC,515,55-64 years Female Non-Hispanic Black,5767217.489,8.93,0
27,CC,560,55-64 years Female Hispanic (All Races),5303188.496,10.56,0
28,CC,450,55-64 years Female OTHER,4375130.509,10.285,0
29,CC,2928,55-64 years Male Non-Hispanic White,6164956.627,47.494,0
30,CC,604,55-64 years Male Non-Hispanic Black,5071173.999,11.91,0
31,CC,741,55-64 years Male Hispanic (All Races),4905449.359,15.106,0
32,CC,560,55-64 years Male OTHER,3579652.235,15.644,0
33,CC,2737,65-74 years Female Non-Hispanic White,5303188.496,51.61,0
34,CC,522,65-74 years Female Non-Hispanic Black,3314492.81,15.749,0
35,CC,477,65-74 years Female Hispanic (All Races),3281347.882,14.537,0
36,CC,399,65-74 years Female OTHER,2187565.255,18.239,0
37,CC,3362,65-74 years Male Non-Hispanic White,6231246.483,53.954,0
38,CC,569,65-74 years Male Non-Hispanic Black,3844811.66,14.799,0
39,CC,644,65-74 years Male Hispanic (All Races),2949898.601,21.831,0
40,CC,559,65-74 years Male OTHER,2220710.183,25.172,0
41,CC,10917,75+ years Female Non-Hispanic White,7291884.182,149.714,0
42,CC,2021,75+ years Female Non-Hispanic Black,2419579.751,83.527,0
43,CC,2373,75+ years Female Hispanic (All Races),1292652.196,183.576,0
44,CC,1847,75+ years Female OTHER,1392086.98,132.678,0
45,CC,12227,75+ years Male Non-Hispanic White,7689623.319,159.006,0
46,CC,2076,75+ years Male Non-Hispanic Black,2054985.542,101.023,0
47,CC,2772,75+ years Male Hispanic (All Races),1060637.699,261.352,0
48,CC,2152,75+ years Male OTHER,1160072.484,185.506,0
1,CM,72,25-34y F NHW,4772869.646,1.509,0
2,CM,168,25-34y F NHB,4109971.084,4.088,0
3,CM,399,25-34y F HIS,3281347.882,12.16,0
4,CM,653,25-34y F OTH,3944246.444,16.556,0
5,CM,968,25-34y M NHW,4739724.718,20.423,0
6,CM,4527,25-34y M NHB,3082478.313,146.862,0
7,CM,191,25-34y M HIS,3314492.81,5.763,0
8,CM,395,25-34y M OTH,3712231.947,10.64,0
9,CM,938,35-44y F NHW,4806014.575,19.517,0
10,CM,1507,35-44y F NHB,3679087.019,40.961,0
11,CM,1845,35-44y F HIS,4574000.078,40.337,0
12,CM,5111,35-44y F OTH,3281347.882,155.759,0
13,CM,43,35-44y M NHW,3877956.588,1.109,0
14,CM,117,35-44y M NHB,2949898.601,3.966,0
15,CM,225,35-44y M HIS,3314492.81,6.788,0
16,CM,308,35-44y M OTH,3049333.385,10.101,0
17,CM,284,45-54y F NHW,4375130.509,6.491,0
18,CM,576,45-54y F NHB,3579652.235,16.091,0
19,CM,96,45-54y F HIS,3712231.947,2.586,0
20,CM,228,45-54y F OTH,3645942.091,6.254,0
21,CM,413,45-54y M NHW,4143116.013,9.968,0
22,CM,535,45-54y M NHB,3447072.522,15.52,0
23,CM,456,45-54y M HIS,3181913.098,14.331,0
24,CM,544,45-54y M OTH,3811666.732,14.272,0
25,CM,21,55-64y F NHW,5634637.777,0.373,0
26,CM,29,55-64y F NHB,5767217.489,0.503,0
27,CM,47,55-64y F HIS,5303188.496,0.886,0
28,CM,73,55-64y F OTH,4375130.509,1.669,0
29,CM,86,55-64y M NHW,6164956.627,1.395,0
30,CM,305,55-64y M NHB,5071173.999,6.014,0
31,CM,45,55-64y M HIS,4905449.359,0.917,0
32,CM,79,55-64y M OTH,3579652.235,2.207,0
33,CM,141,65-74y F NHW,5303188.496,2.659,0
34,CM,143,65-74y F NHB,3314492.81,4.314,0
35,CM,156,65-74y F HIS,3281347.882,4.754,0
36,CM,292,65-74y F OTH,2187565.255,13.348,0
37,CM,12,65-74y M NHW,6231246.483,0.193,0
38,CM,12,65-74y M NHB,3844811.66,0.312,0
39,CM,32,65-74y M HIS,2949898.601,1.085,0
40,CM,41,65-74y M OTH,2220710.183,1.846,0
41,CM,48,75y+ F NHW,7291884.182,0.658,0
42,CM,146,75y+ F NHB,2419579.751,6.034,0
43,CM,25,75y+ F HIS,1292652.196,1.934,0
44,CM,47,75y+ F OTH,1392086.98,3.376,0
45,CM,50,75y+ M NHW,7689623.319,0.65,0
46,CM,69,75y+ M NHB,2054985.542,3.358,0
47,CM,65,75y+ M HIS,1060637.699,6.128,0
48,CM,155,75y+ M OTH,1160072.484,13.361,0
1,CM_medBMI,72,25-34y F NHW,4772869.646,1.509,0
2,CM_medBMI,168,25-34y F NHB,4109971.084,4.088,0
3,CM_medBMI,399,25-34y F HIS,3281347.882,12.16,0
4,CM_medBMI,653,25-34y F OTH,3944246.444,16.556,0
5,CM_medBMI,968,25-34y M NHW,4739724.718,20.423,0
6,CM_medBMI,4527,25-34y M NHB,3082478.313,146.862,0
7,CM_medBMI,191,25-34y M HIS,3314492.81,5.763,0
8,CM_medBMI,395,25-34y M OTH,3712231.947,10.64,0
9,CM_medBMI,938,35-44y F NHW,4806014.575,19.517,0
10,CM_medBMI,1507,35-44y F NHB,3679087.019,40.961,0
11,CM_medBMI,1845,35-44y F HIS,4574000.078,40.337,0
12,CM_medBMI,5111,35-44y F OTH,3281347.882,155.759,0
13,CM_medBMI,43,35-44y M NHW,3877956.588,1.109,0
14,CM_medBMI,117,35-44y M NHB,2949898.601,3.966,0
15,CM_medBMI,225,35-44y M HIS,3314492.81,6.788,0
16,CM_medBMI,308,35-44y M OTH,3049333.385,10.101,0
17,CM_medBMI,284,45-54y F NHW,4375130.509,6.491,0
18,CM_medBMI,576,45-54y F NHB,3579652.235,16.091,0
19,CM_medBMI,96,45-54y F HIS,3712231.947,2.586,0
20,CM_medBMI,228,45-54y F OTH,3645942.091,6.254,0
21,CM_medBMI,413,45-54y M NHW,4143116.013,9.968,0
22,CM_medBMI,535,45-54y M NHB,3447072.522,15.52,0
23,CM_medBMI,456,45-54y M HIS,3181913.098,14.331,0
24,CM_medBMI,544,45-54y M OTH,3811666.732,14.272,0
25,CM_medBMI,21,55-64y F NHW,5634637.777,0.373,0
26,CM_medBMI,29,55-64y F NHB,5767217.489,0.503,0
27,CM_medBMI,47,55-64y F HIS,5303188.496,0.886,0
28,CM_medBMI,73,55-64y F OTH,4375130.509,1.669,0
29,CM_medBMI,86,55-64y M NHW,6164956.627,1.395,0
30,CM_medBMI,305,55-64y M NHB,5071173.999,6.014,0
31,CM_medBMI,45,55-64y M HIS,4905449.359,0.917,0
32,CM_medBMI,79,55-64y M OTH,3579652.235,2.207,0
33,CM_medBMI,141,65-74y F NHW,5303188.496,2.659,0
34,CM_medBMI,143,65-74y F NHB,3314492.81,4.314,0
35,CM_medBMI,156,65-74y F HIS,3281347.882,4.754,0
36,CM_medBMI,292,65-74y F OTH,2187565.255,13.348,0
37,CM_medBMI,12,65-74y M NHW,6231246.483,0.193,0
38,CM_medBMI,12,65-74y M NHB,3844811.66,0.312,0
39,CM_medBMI,32,65-74y M HIS,2949898.601,1.085,0
40,CM_medBMI,41,65-74y M OTH,2220710.183,1.846,0
41,CM_medBMI,48,75y+ F NHW,7291884.182,0.658,0
42,CM_medBMI,146,75y+ F NHB,2419579.751,6.034,0
43,CM_medBMI,25,75y+ F HIS,1292652.196,1.934,0
44,CM_medBMI,47,75y+ F OTH,1392086.98,3.376,0
45,CM_medBMI,50,75y+ M NHW,7689623.319,0.65,0
46,CM_medBMI,69,75y+ M NHB,2054985.542,3.358,0
47,CM_medBMI,65,75y+ M HIS,1060637.699,6.128,0
48,CM_medBMI,155,75y+ M OTH,1160072.484,13.361,0
1,CM_medSBP,72,25-34y F NHW,4772869.646,1.509,0
2,CM_medSBP,168,25-34y F NHB,4109971.084,4.088,0
3,CM_medSBP,399,25-34y F HIS,3281347.882,12.16,0
4,CM_medSBP,653,25-34y F OTH,3944246.444,16.556,0
5,CM_medSBP,968,25-34y M NHW,4739724.718,20.423,0
6,CM_medSBP,4527,25-34y M NHB,3082478.313,146.862,0
7,CM_medSBP,191,25-34y M HIS,3314492.81,5.763,0
8,CM_medSBP,395,25-34y M OTH,3712231.947,10.64,0
9,CM_medSBP,938,35-44y F NHW,4806014.575,19.517,0
10,CM_medSBP,1507,35-44y F NHB,3679087.019,40.961,0
11,CM_medSBP,1845,35-44y F HIS,4574000.078,40.337,0
12,CM_medSBP,5111,35-44y F OTH,3281347.882,155.759,0
13,CM_medSBP,43,35-44y M NHW,3877956.588,1.109,0
14,CM_medSBP,117,35-44y M NHB,2949898.601,3.966,0
15,CM_medSBP,225,35-44y M HIS,3314492.81,6.788,0
16,CM_medSBP,308,35-44y M OTH,3049333.385,10.101,0
17,CM_medSBP,284,45-54y F NHW,4375130.509,6.491,0
18,CM_medSBP,576,45-54y F NHB,3579652.235,16.091,0
19,CM_medSBP,96,45-54y F HIS,3712231.947,2.586,0
20,CM_medSBP,228,45-54y F OTH,3645942.091,6.254,0
21,CM_medSBP,413,45-54y M NHW,4143116.013,9.968,0
22,CM_medSBP,535,45-54y M NHB,3447072.522,15.52,0
23,CM_medSBP,456,45-54y M HIS,3181913.098,14.331,0
24,CM_medSBP,544,45-54y M OTH,3811666.732,14.272,0
25,CM_medSBP,21,55-64y F NHW,5634637.777,0.373,0
26,CM_medSBP,29,55-64y F NHB,5767217.489,0.503,0
27,CM_medSBP,47,55-64y F HIS,5303188.496,0.886,0
28,CM_medSBP,73,55-64y F OTH,4375130.509,1.669,0
29,CM_medSBP,86,55-64y M NHW,6164956.627,1.395,0
30,CM_medSBP,305,55-64y M NHB,5071173.999,6.014,0
31,CM_medSBP,45,55-64y M HIS,4905449.359,0.917,0
32,CM_medSBP,79,55-64y M OTH,3579652.235,2.207,0
33,CM_medSBP,141,65-74y F NHW,5303188.496,2.659,0
34,CM_medSBP,143,65-74y F NHB,3314492.81,4.314,0
35,CM_medSBP,156,65-74y F HIS,3281347.882,4.754,0
36,CM_medSBP,292,65-74y F OTH,2187565.255,13.348,0
37,CM_medSBP,12,65-74y M NHW,6231246.483,0.193,0
38,CM_medSBP,12,65-74y M NHB,3844811.66,0.312,0
39,CM_medSBP,32,65-74y M HIS,2949898.601,1.085,0
40,CM_medSBP,41,65-74y M OTH,2220710.183,1.846,0
41,CM_medSBP,48,75y+ F NHW,7291884.182,0.658,0
42,CM_medSBP,146,75y+ F NHB,2419579.751,6.034,0
43,CM_medSBP,25,75y+ F HIS,1292652.196,1.934,0
44,CM_medSBP,47,75y+ F OTH,1392086.98,3.376,0
45,CM_medSBP,50,75y+ M NHW,7689623.319,0.65,0
46,CM_medSBP,69,75y+ M NHB,2054985.542,3.358,0
47,CM_medSBP,65,75y+ M HIS,1060637.699,6.128,0
48,CM_medSBP,155,75y+ M OTH,1160072.484,13.361,0
1,DIAB,127,25-34y F NHW,4772869.646,2.661,0
2,DIAB,378,25-34y F NHB,4109971.084,9.197,0
3,DIAB,1151,25-34y F HIS,3281347.882,35.077,0
4,DIAB,2704,25-34y F OTH,3944246.444,68.556,0
5,DIAB,4136,25-34y M NHW,4739724.718,87.262,0
6,DIAB,13037,25-34y M NHB,3082478.313,422.939,0
7,DIAB,190,25-34y M HIS,3314492.81,5.732,0
8,DIAB,602,25-34y M OTH,3712231.947,16.217,0
9,DIAB,2055,35-44y F NHW,4806014.575,42.759,0
10,DIAB,4726,35-44y F NHB,3679087.019,128.456,0
11,DIAB,6131,35-44y F HIS,4574000.078,134.04,0
12,DIAB,11342,35-44y F OTH,3281347.882,345.651,0
13,DIAB,81,35-44y M NHW,3877956.588,2.089,0
14,DIAB,182,35-44y M NHB,2949898.601,6.17,0
15,DIAB,561,35-44y M HIS,3314492.81,16.926,0
16,DIAB,1092,35-44y M OTH,3049333.385,35.811,0
17,DIAB,1391,45-54y F NHW,4375130.509,31.793,0
18,DIAB,2939,45-54y F NHB,3579652.235,82.103,0
19,DIAB,96,45-54y F HIS,3712231.947,2.586,0
20,DIAB,279,45-54y F OTH,3645942.091,7.652,0
21,DIAB,754,45-54y M NHW,4143116.013,18.199,0
22,DIAB,1373,45-54y M NHB,3447072.522,39.831,0
23,DIAB,1473,45-54y M HIS,3181913.098,46.293,0
24,DIAB,1631,45-54y M OTH,3811666.732,42.79,0
25,DIAB,31,55-64y F NHW,5634637.777,0.55,0
26,DIAB,65,55-64y F NHB,5767217.489,1.127,0
27,DIAB,216,55-64y F HIS,5303188.496,4.073,0
28,DIAB,492,55-64y F OTH,4375130.509,11.245,0
29,DIAB,701,55-64y M NHW,6164956.627,11.371,0
30,DIAB,1667,55-64y M NHB,5071173.999,32.872,0
31,DIAB,50,55-64y M HIS,4905449.359,1.019,0
32,DIAB,140,55-64y M OTH,3579652.235,3.911,0
33,DIAB,401,65-74y F NHW,5303188.496,7.561,0
34,DIAB,729,65-74y F NHB,3314492.81,21.994,0
35,DIAB,825,65-74y F HIS,3281347.882,25.142,0
36,DIAB,1234,65-74y F OTH,2187565.255,56.41,0
37,DIAB,13,65-74y M NHW,6231246.483,0.209,0
38,DIAB,18,65-74y M NHB,3844811.66,0.468,0
39,DIAB,94,65-74y M HIS,2949898.601,3.187,0
40,DIAB,209,65-74y M OTH,2220710.183,9.411,0
41,DIAB,322,75y+ F NHW,7291884.182,4.416,0
42,DIAB,743,75y+ F NHB,2419579.751,30.708,0
43,DIAB,10,75y+ F HIS,1292652.196,0.774,0
44,DIAB,60,75y+ F OTH,1392086.98,4.31,0
45,DIAB,178,75y+ M NHW,7689623.319,2.315,0
46,DIAB,334,75y+ M NHB,2054985.542,16.253,0
47,DIAB,351,75y+ M HIS,1060637.699,33.093,0
48,DIAB,600,75y+ M OTH,1160072.484,51.721,0
1,DIAB_medBMI,127,25-34y F NHW,4772869.646,2.661,0
2,DIAB_medBMI,378,25-34y F NHB,4109971.084,9.197,0
3,DIAB_medBMI,1151,25-34y F HIS,3281347.882,35.077,0
4,DIAB_medBMI,2704,25-34y F OTH,3944246.444,68.556,0
5,DIAB_medBMI,4136,25-34y M NHW,4739724.718,87.262,0
6,DIAB_medBMI,13037,25-34y M NHB,3082478.313,422.939,0
7,DIAB_medBMI,190,25-34y M HIS,3314492.81,5.732,0
8,DIAB_medBMI,602,25-34y M OTH,3712231.947,16.217,0
9,DIAB_medBMI,2055,35-44y F NHW,4806014.575,42.759,0
10,DIAB_medBMI,4726,35-44y F NHB,3679087.019,128.456,0
11,DIAB_medBMI,6131,35-44y F HIS,4574000.078,134.04,0
12,DIAB_medBMI,11342,35-44y F OTH,3281347.882,345.651,0
13,DIAB_medBMI,81,35-44y M NHW,3877956.588,2.089,0
14,DIAB_medBMI,182,35-44y M NHB,2949898.601,6.17,0
15,DIAB_medBMI,561,35-44y M HIS,3314492.81,16.926,0
16,DIAB_medBMI,1092,35-44y M OTH,3049333.385,35.811,0
17,DIAB_medBMI,1391,45-54y F NHW,4375130.509,31.793,0
18,DIAB_medBMI,2939,45-54y F NHB,3579652.235,82.103,0
19,DIAB_medBMI,96,45-54y F HIS,3712231.947,2.586,0
20,DIAB_medBMI,279,45-54y F OTH,3645942.091,7.652,0
21,DIAB_medBMI,754,45-54y M NHW,4143116.013,18.199,0
22,DIAB_medBMI,1373,45-54y M NHB,3447072.522,39.831,0
23,DIAB_medBMI,1473,45-54y M HIS,3181913.098,46.293,0
24,DIAB_medBMI,1631,45-54y M OTH,3811666.732,42.79,0
25,DIAB_medBMI,31,55-64y F NHW,5634637.777,0.55,0
26,DIAB_medBMI,65,55-64y F NHB,5767217.489,1.127,0
27,DIAB_medBMI,216,55-64y F HIS,5303188.496,4.073,0
28,DIAB_medBMI,492,55-64y F OTH,4375130.509,11.245,0
29,DIAB_medBMI,701,55-64y M NHW,6164956.627,11.371,0
30,DIAB_medBMI,1667,55-64y M NHB,5071173.999,32.872,0
31,DIAB_medBMI,50,55-64y M HIS,4905449.359,1.019,0
32,DIAB_medBMI,140,55-64y M OTH,3579652.235,3.911,0
33,DIAB_medBMI,401,65-74y F NHW,5303188.496,7.561,0
34,DIAB_medBMI,729,65-74y F NHB,3314492.81,21.994,0
35,DIAB_medBMI,825,65-74y F HIS,3281347.882,25.142,0
36,DIAB_medBMI,1234,65-74y F OTH,2187565.255,56.41,0
37,DIAB_medBMI,13,65-74y M NHW,6231246.483,0.209,0
38,DIAB_medBMI,18,65-74y M NHB,3844811.66,0.468,0
39,DIAB_medBMI,94,65-74y M HIS,2949898.601,3.187,0
40,DIAB_medBMI,209,65-74y M OTH,2220710.183,9.411,0
41,DIAB_medBMI,322,75y+ F NHW,7291884.182,4.416,0
42,DIAB_medBMI,743,75y+ F NHB,2419579.751,30.708,0
43,DIAB_medBMI,10,75y+ F HIS,1292652.196,0.774,0
44,DIAB_medBMI,60,75y+ F OTH,1392086.98,4.31,0
45,DIAB_medBMI,178,75y+ M NHW,7689623.319,2.315,0
46,DIAB_medBMI,334,75y+ M NHB,2054985.542,16.253,0
47,DIAB_medBMI,351,75y+ M HIS,1060637.699,33.093,0
48,DIAB_medBMI,600,75y+ M OTH,1160072.484,51.721,0
1,DIAB_medSBP,127,25-34y F NHW,4772869.646,2.661,0
2,DIAB_medSBP,378,25-34y F NHB,4109971.084,9.197,0
3,DIAB_medSBP,1151,25-34y F HIS,3281347.882,35.077,0
4,DIAB_medSBP,2704,25-34y F OTH,3944246.444,68.556,0
5,DIAB_medSBP,4136,25-34y M NHW,4739724.718,87.262,0
6,DIAB_medSBP,13037,25-34y M NHB,3082478.313,422.939,0
7,DIAB_medSBP,190,25-34y M HIS,3314492.81,5.732,0
8,DIAB_medSBP,602,25-34y M OTH,3712231.947,16.217,0
9,DIAB_medSBP,2055,35-44y F NHW,4806014.575,42.759,0
10,DIAB_medSBP,4726,35-44y F NHB,3679087.019,128.456,0
11,DIAB_medSBP,6131,35-44y F HIS,4574000.078,134.04,0
12,DIAB_medSBP,11342,35-44y F OTH,3281347.882,345.651,0
13,DIAB_medSBP,81,35-44y M NHW,3877956.588,2.089,0
14,DIAB_medSBP,182,35-44y M NHB,2949898.601,6.17,0
15,DIAB_medSBP,561,35-44y M HIS,3314492.81,16.926,0
16,DIAB_medSBP,1092,35-44y M OTH,3049333.385,35.811,0
17,DIAB_medSBP,1391,45-54y F NHW,4375130.509,31.793,0
18,DIAB_medSBP,2939,45-54y F NHB,3579652.235,82.103,0
19,DIAB_medSBP,96,45-54y F HIS,3712231.947,2.586,0
20,DIAB_medSBP,279,45-54y F OTH,3645942.091,7.652,0
21,DIAB_medSBP,754,45-54y M NHW,4143116.013,18.199,0
22,DIAB_medSBP,1373,45-54y M NHB,3447072.522,39.831,0
23,DIAB_medSBP,1473,45-54y M HIS,3181913.098,46.293,0
24,DIAB_medSBP,1631,45-54y M OTH,3811666.732,42.79,0
25,DIAB_medSBP,31,55-64y F NHW,5634637.777,0.55,0
26,DIAB_medSBP,65,55-64y F NHB,5767217.489,1.127,0
27,DIAB_medSBP,216,55-64y F HIS,5303188.496,4.073,0
28,DIAB_medSBP,492,55-64y F OTH,4375130.509,11.245,0
29,DIAB_medSBP,701,55-64y M NHW,6164956.627,11.371,0
30,DIAB_medSBP,1667,55-64y M NHB,5071173.999,32.872,0
31,DIAB_medSBP,50,55-64y M HIS,4905449.359,1.019,0
32,DIAB_medSBP,140,55-64y M OTH,3579652.235,3.911,0
33,DIAB_medSBP,401,65-74y F NHW,5303188.496,7.561,0
34,DIAB_medSBP,729,65-74y F NHB,3314492.81,21.994,0
35,DIAB_medSBP,825,65-74y F HIS,3281347.882,25.142,0
36,DIAB_medSBP,1234,65-74y F OTH,2187565.255,56.41,0
37,DIAB_medSBP,13,65-74y M NHW,6231246.483,0.209,0
38,DIAB_medSBP,18,65-74y M NHB,3844811.66,0.468,0
39,DIAB_medSBP,94,65-74y M HIS,2949898.601,3.187,0
40,DIAB_medSBP,209,65-74y M OTH,2220710.183,9.411,0
41,DIAB_medSBP,322,75y+ F NHW,7291884.182,4.416,0
42,DIAB_medSBP,743,75y+ F NHB,2419579.751,30.708,0
43,DIAB_medSBP,10,75y+ F HIS,1292652.196,0.774,0
44,DIAB_medSBP,60,75y+ F OTH,1392086.98,4.31,0
45,DIAB_medSBP,178,75y+ M NHW,7689623.319,2.315,0
46,DIAB_medSBP,334,75y+ M NHB,2054985.542,16.253,0
47,DIAB_medSBP,351,75y+ M HIS,1060637.699,33.093,0
48,DIAB_medSBP,600,75y+ M OTH,1160072.484,51.721,0
1,ECA,2,25-34 years Female Non-Hispanic White,4772869.646,0.042,0
2,ECA,0,25-34 years Female Non-Hispanic Black,4109971.084,0,0
3,ECA,1,25-34 years Female Hispanic (All Races),3281347.882,0.03,0
4,ECA,0,25-34 years Female OTHER,3944246.444,0,0
5,ECA,8,25-34 years Male Non-Hispanic White,4739724.718,0.169,0
6,ECA,0,25-34 years Male Non-Hispanic Black,3082478.313,0,0
7,ECA,3,25-34 years Male Hispanic (All Races),3314492.81,0.091,0
8,ECA,0,25-34 years Male OTHER,3712231.947,0,0
9,ECA,0,35-44 years Female Non-Hispanic White,4806014.575,0,0
10,ECA,1,35-44 years Female Non-Hispanic Black,3679087.019,0.027,0
11,ECA,0,35-44 years Female Hispanic (All Races),4574000.078,0,0
12,ECA,1,35-44 years Female OTHER,3281347.882,0.03,0
13,ECA,35,35-44 years Male Non-Hispanic White,3877956.588,0.903,0
14,ECA,2,35-44 years Male Non-Hispanic Black,2949898.601,0.068,0
15,ECA,8,35-44 years Male Hispanic (All Races),3314492.81,0.241,0
16,ECA,4,35-44 years Male OTHER,3049333.385,0.131,0
17,ECA,25,45-54 years Female Non-Hispanic White,4375130.509,0.571,0
18,ECA,1,45-54 years Female Non-Hispanic Black,3579652.235,0.028,0
19,ECA,5,45-54 years Female Hispanic (All Races),3712231.947,0.135,0
20,ECA,2,45-54 years Female OTHER,3645942.091,0.055,0
21,ECA,171,45-54 years Male Non-Hispanic White,4143116.013,4.127,0
22,ECA,4,45-54 years Male Non-Hispanic Black,3447072.522,0.116,0
23,ECA,26,45-54 years Male Hispanic (All Races),3181913.098,0.817,0
24,ECA,3,45-54 years Male OTHER,3811666.732,0.079,0
25,ECA,59,55-64 years Female Non-Hispanic White,5634637.777,1.047,0
26,ECA,5,55-64 years Female Non-Hispanic Black,5767217.489,0.087,0
27,ECA,5,55-64 years Female Hispanic (All Races),5303188.496,0.094,0
28,ECA,2,55-64 years Female OTHER,4375130.509,0.046,0
29,ECA,486,55-64 years Male Non-Hispanic White,6164956.627,7.883,0
30,ECA,20,55-64 years Male Non-Hispanic Black,5071173.999,0.394,0
31,ECA,49,55-64 years Male Hispanic (All Races),4905449.359,0.999,0
32,ECA,17,55-64 years Male OTHER,3579652.235,0.475,0
33,ECA,86,65-74 years Female Non-Hispanic White,5303188.496,1.622,0
34,ECA,5,65-74 years Female Non-Hispanic Black,3314492.81,0.151,0
35,ECA,11,65-74 years Female Hispanic (All Races),3281347.882,0.335,0
36,ECA,1,65-74 years Female OTHER,2187565.255,0.046,0
37,ECA,677,65-74 years Male Non-Hispanic White,6231246.483,10.865,0
38,ECA,16,65-74 years Male Non-Hispanic Black,3844811.66,0.416,0
39,ECA,59,65-74 years Male Hispanic (All Races),2949898.601,2,0
40,ECA,24,65-74 years Male OTHER,2220710.183,1.081,0
41,ECA,299,75+ years Female Non-Hispanic White,7291884.182,4.1,0
42,ECA,17,75+ years Female Non-Hispanic Black,2419579.751,0.703,0
43,ECA,33,75+ years Female Hispanic (All Races),1292652.196,2.553,0
44,ECA,13,75+ years Female OTHER,1392086.98,0.934,0
45,ECA,1902,75+ years Male Non-Hispanic White,7689623.319,24.735,0
46,ECA,57,75+ years Male Non-Hispanic Black,2054985.542,2.774,0
47,ECA,176,75+ years Male Hispanic (All Races),1060637.699,16.594,0
48,ECA,68,75+ years Male OTHER,1160072.484,5.862,0
1,ENDO,17,25-34y F NHW,4772869.646,0.356,0
2,ENDO,15,25-34y F NHB,4109971.084,0.365,0
3,ENDO,39,25-34y F HIS,3281347.882,1.189,0
4,ENDO,62,25-34y F OTH,3944246.444,1.572,0
5,ENDO,88,25-34y M NHW,4739724.718,1.857,0
6,ENDO,127,25-34y M NHB,3082478.313,4.12,0
7,ENDO,22,25-34y M HIS,3314492.81,0.664,0
8,ENDO,41,25-34y M OTH,3712231.947,1.104,0
9,ENDO,65,35-44y F NHW,4806014.575,1.352,0
10,ENDO,106,35-44y F NHB,3679087.019,2.881,0
11,ENDO,97,35-44y F HIS,4574000.078,2.121,0
12,ENDO,176,35-44y F OTH,3281347.882,5.364,0
13,ENDO,2,35-44y M NHW,3877956.588,0.052,0
14,ENDO,2,35-44y M NHB,2949898.601,0.068,0
15,ENDO,11,35-44y M HIS,3314492.81,0.332,0
16,ENDO,24,35-44y M OTH,3049333.385,0.787,0
17,ENDO,20,45-54y F NHW,4375130.509,0.457,0
18,ENDO,24,45-54y F NHB,3579652.235,0.67,0
19,ENDO,2,45-54y F HIS,3712231.947,0.054,0
20,ENDO,7,45-54y F OTH,3645942.091,0.192,0
21,ENDO,30,45-54y M NHW,4143116.013,0.724,0
22,ENDO,48,45-54y M NHB,3447072.522,1.392,0
23,ENDO,16,45-54y M HIS,3181913.098,0.503,0
24,ENDO,15,45-54y M OTH,3811666.732,0.394,0
25,ENDO,0,55-64y F NHW,5634637.777,0,0
26,ENDO,4,55-64y F NHB,5767217.489,0.069,0
27,ENDO,2,55-64y F HIS,5303188.496,0.038,0
28,ENDO,8,55-64y F OTH,4375130.509,0.183,0
29,ENDO,4,55-64y M NHW,6164956.627,0.065,0
30,ENDO,6,55-64y M NHB,5071173.999,0.118,0
31,ENDO,6,55-64y M HIS,4905449.359,0.122,0
