subgroup,Grp,Age,Age_label,Sex,Sex_label,Race,Race_label,CancerSites,count,population,crude_rate,crude_SE
1,25-34y F NHW,1,25-34,1,Female,1,NHW,Pancreas,328,30600000,1.074,0.132
2,25-34y F NHB,1,25-34,1,Female,2,NHB,Pancreas,53,2747328,1.929,0.375
3,25-34y F HIS,1,25-34,1,Female,3,HIS,Pancreas,57,4366824,1.305,0.278
4,25-34y F OTH,1,25-34,1,Female,4,OTH,Pancreas,0,207056,0,0
5,25-34y M NHW,1,25-34,2,Male,1,NHW,Pancreas,293,18300000,1.603,0.161
6,25-34y M NHB,1,25-34,2,Male,2,NHB,Pancreas,70,2444886,2.863,0.483
7,25-34y M HIS,1,25-34,2,Male,3,HIS,Pancreas,48,4493404,1.068,0.246
8,25-34y M OTH,1,25-34,2,Male,4,OTH,Pancreas,19,957117,1.985,0.545
9,35-44y F NHW,2,35-44,1,Female,1,NHW,Pancreas,328,30600000,1.074,0.132
10,35-44y F NHB,2,35-44,1,Female,2,NHB,Pancreas,53,2747328,1.929,0.375
11,35-44y F HIS,2,35-44,1,Female,3,HIS,Pancreas,57,4366824,1.305,0.278
12,35-44y F OTH,2,35-44,1,Female,4,OTH,Pancreas,0,207056,0,0
13,35-44y M NHW,2,35-44,2,Male,1,NHW,Pancreas,293,18300000,1.603,0.161
14,35-44y M NHB,2,35-44,2,Male,2,NHB,Pancreas,70,2444886,2.863,0.483
15,35-44y M HIS,2,35-44,2,Male,3,HIS,Pancreas,48,4493404,1.068,0.246
16,35-44y M OTH,2,35-44,2,Male,4,OTH,Pancreas,19,957117,1.985,0.545
17,45-54y F NHW,3,45-54,1,Female,1,NHW,Pancreas,1105,14700000,7.502,0.316
18,45-54y F NHB,3,45-54,1,Female,2,NHB,Pancreas,305,2885488,10.57,0.854
19,45-54y F HIS,3,45-54,1,Female,3,HIS,Pancreas,144,2819825,5.107,0.623
20,45-54y F OTH,3,45-54,1,Female,4,OTH,Pancreas,33,606670,5.44,0.947
21,45-54y M NHW,3,45-54,2,Male,1,NHW,Pancreas,1543,14500000,10.614,0.379
22,45-54y M NHB,3,45-54,2,Male,2,NHB,Pancreas,358,2549908,14.04,1.048
23,45-54y M HIS,3,45-54,2,Male,3,HIS,Pancreas,240,2838689,8.455,0.793
24,45-54y M OTH,3,45-54,2,Male,4,OTH,Pancreas,72,1109784,6.488,1.086
25,55-64y F NHW,4,55-64,1,Female,1,NHW,Pancreas,2960,14700000,20.189,0.528
26,55-64y F NHB,4,55-64,1,Female,2,NHB,Pancreas,686,2394848,28.645,1.562
27,55-64y F HIS,4,55-64,1,Female,3,HIS,Pancreas,342,1867830,18.31,1.463
28,55-64y F OTH,4,55-64,1,Female,4,OTH,Pancreas,159,1093574,14.539,2.199
29,55-64y M NHW,4,55-64,2,Male,1,NHW,Pancreas,4098,14000000,29.305,0.652
30,55-64y M NHB,4,55-64,2,Male,2,NHB,Pancreas,779,2000803,38.934,1.989
31,55-64y M HIS,4,55-64,2,Male,3,HIS,Pancreas,380,1665910,22.81,1.686
32,55-64y M OTH,4,55-64,2,Male,4,OTH,Pancreas,181,928390,19.496,2.577
33,65-74y F NHW,5,65-74,1,Female,1,NHW,Pancreas,11405,19500000,58.367,1.268
34,65-74y F NHB,5,65-74,1,Female,2,NHB,Pancreas,1678,2329909,72.02,4.153
35,65-74y F HIS,5,65-74,1,Female,3,HIS,Pancreas,1011,1779060,56.828,4.281
36,65-74y F OTH,5,65-74,1,Female,4,OTH,Pancreas,485,1023756,47.375,5.208
37,65-74y M NHW,5,65-74,2,Male,1,NHW,Pancreas,11322,15600000,72.736,1.613
38,65-74y M NHB,5,65-74,2,Male,2,NHB,Pancreas,1207,1542829,78.233,5.31
39,65-74y M HIS,5,65-74,2,Male,3,HIS,Pancreas,855,1334251,64.081,5.165
40,65-74y M OTH,5,65-74,2,Male,4,OTH,Pancreas,424,829168,51.136,6.626
41,75y+ F NHW,6,75+,1,Female,1,NHW,Pancreas,11405,19500000,58.367,1.268
42,75y+ F NHB,6,75+,1,Female,2,NHB,Pancreas,1678,2329909,72.02,4.153
43,75y+ F HIS,6,75+,1,Female,3,HIS,Pancreas,1011,1779060,56.828,4.281
44,75y+ F OTH,6,75+,1,Female,4,OTH,Pancreas,485,1023756,47.375,5.208
45,75y+ M NHW,6,75+,2,Male,1,NHW,Pancreas,11322,15600000,72.736,1.613
46,75y+ M NHB,6,75+,2,Male,2,NHB,Pancreas,1207,1542829,78.233,5.31
47,75y+ M HIS,6,75+,2,Male,3,HIS,Pancreas,855,1334251,64.081,5.165
48,75y+ M OTH,6,75+,2,Male,4,OTH,Pancreas,424,829168,51.136,6.626
1,25-34y F NHW,1,25-34,1,Female,1,NHW,Kidney and Renal Pelvis,1104,30600000,3.614,0.244
2,25-34y F NHB,1,25-34,1,Female,2,NHB,Kidney and Renal Pelvis,219,5720433,3.828,0.522
3,25-34y F HIS,1,25-34,1,Female,3,HIS,Kidney and Renal Pelvis,299,9645322,3.1,0.423
4,25-34y F OTH,1,25-34,1,Female,4,OTH,Kidney and Renal Pelvis,21,866900,2.422,0.566
5,25-34y M NHW,1,25-34,2,Male,1,NHW,Kidney and Renal Pelvis,1609,31200000,5.16,0.289
6,25-34y M NHB,1,25-34,2,Male,2,NHB,Kidney and Renal Pelvis,375,5220310,7.183,0.756
7,25-34y M HIS,1,25-34,2,Male,3,HIS,Kidney and Renal Pelvis,375,8104530,4.627,0.504
8,25-34y M OTH,1,25-34,2,Male,4,OTH,Kidney and Renal Pelvis,71,1423074,4.989,1.435
9,35-44y F NHW,2,35-44,1,Female,1,NHW,Kidney and Renal Pelvis,1104,30600000,3.614,0.244
10,35-44y F NHB,2,35-44,1,Female,2,NHB,Kidney and Renal Pelvis,219,5720433,3.828,0.522
11,35-44y F HIS,2,35-44,1,Female,3,HIS,Kidney and Renal Pelvis,299,9645322,3.1,0.423
12,35-44y F OTH,2,35-44,1,Female,4,OTH,Kidney and Renal Pelvis,21,866900,2.422,0.566
13,35-44y M NHW,2,35-44,2,Male,1,NHW,Kidney and Renal Pelvis,1609,31200000,5.16,0.289
14,35-44y M NHB,2,35-44,2,Male,2,NHB,Kidney and Renal Pelvis,375,5220310,7.183,0.756
15,35-44y M HIS,2,35-44,2,Male,3,HIS,Kidney and Renal Pelvis,375,8104530,4.627,0.504
16,35-44y M OTH,2,35-44,2,Male,4,OTH,Kidney and Renal Pelvis,71,1423074,4.989,1.435
17,45-54y F NHW,3,45-54,1,Female,1,NHW,Kidney and Renal Pelvis,1956,14700000,13.279,0.423
18,45-54y F NHB,3,45-54,1,Female,2,NHB,Kidney and Renal Pelvis,398,2885488,13.793,0.977
19,45-54y F HIS,3,45-54,1,Female,3,HIS,Kidney and Renal Pelvis,365,2737390,13.334,0.997
20,45-54y F OTH,3,45-54,1,Female,4,OTH,Kidney and Renal Pelvis,96,1352002,7.101,1.594
21,45-54y M NHW,3,45-54,2,Male,1,NHW,Kidney and Renal Pelvis,3775,14500000,25.967,0.594
22,45-54y M NHB,3,45-54,2,Male,2,NHB,Kidney and Renal Pelvis,771,2549908,30.236,1.539
23,45-54y M HIS,3,45-54,2,Male,3,HIS,Kidney and Renal Pelvis,623,2824684,22.056,1.271
24,45-54y M OTH,3,45-54,2,Male,4,OTH,Kidney and Renal Pelvis,209,1277639,16.358,2.955
25,55-64y F NHW,4,55-64,1,Female,1,NHW,Kidney and Renal Pelvis,3564,14700000,24.309,0.578
26,55-64y F NHB,4,55-64,1,Female,2,NHB,Kidney and Renal Pelvis,705,2394848,29.438,1.58
27,55-64y F HIS,4,55-64,1,Female,3,HIS,Kidney and Renal Pelvis,506,1796973,28.159,1.796
28,55-64y F OTH,4,55-64,1,Female,4,OTH,Kidney and Renal Pelvis,159,1178370,13.493,2.77
29,55-64y M NHW,4,55-64,2,Male,1,NHW,Kidney and Renal Pelvis,7206,14000000,51.53,0.862
30,55-64y M NHB,4,55-64,2,Male,2,NHB,Kidney and Renal Pelvis,1260,2000803,62.975,2.532
31,55-64y M HIS,4,55-64,2,Male,3,HIS,Kidney and Renal Pelvis,835,1665910,50.123,2.486
32,55-64y M OTH,4,55-64,2,Male,4,OTH,Kidney and Renal Pelvis,316,987955,31.985,4.295
33,65-74y F NHW,5,65-74,1,Female,1,NHW,Kidney and Renal Pelvis,8310,19500000,42.528,1.05
34,65-74y F NHB,5,65-74,1,Female,2,NHB,Kidney and Renal Pelvis,1137,2329909,48.8,3.191
35,65-74y F HIS,5,65-74,1,Female,3,HIS,Kidney and Renal Pelvis,857,1786156,47.98,3.719
36,65-74y F OTH,5,65-74,1,Female,4,OTH,Kidney and Renal Pelvis,227,1094504,20.74,4.522
37,65-74y M NHW,5,65-74,2,Male,1,NHW,Kidney and Renal Pelvis,13781,15600000,88.533,1.693
38,65-74y M NHB,5,65-74,2,Male,2,NHB,Kidney and Renal Pelvis,1484,1542829,96.187,5.375
39,65-74y M HIS,5,65-74,2,Male,3,HIS,Kidney and Renal Pelvis,1216,1334198,91.141,5.857
40,65-74y M OTH,5,65-74,2,Male,4,OTH,Kidney and Renal Pelvis,458,874690,52.361,8.168
41,75y+ F NHW,6,75+,1,Female,1,NHW,Kidney and Renal Pelvis,8310,19500000,42.528,1.05
42,75y+ F NHB,6,75+,1,Female,2,NHB,Kidney and Renal Pelvis,1137,2329909,48.8,3.191
43,75y+ F HIS,6,75+,1,Female,3,HIS,Kidney and Renal Pelvis,857,1786156,47.98,3.719
44,75y+ F OTH,6,75+,1,Female,4,OTH,Kidney and Renal Pelvis,227,1094504,20.74,4.522
45,75y+ M NHW,6,75+,2,Male,1,NHW,Kidney and Renal Pelvis,13781,15600000,88.533,1.693
46,75y+ M NHB,6,75+,2,Male,2,NHB,Kidney and Renal Pelvis,1484,1542829,96.187,5.375
47,75y+ M HIS,6,75+,2,Male,3,HIS,Kidney and Renal Pelvis,1216,1334198,91.141,5.857
48,75y+ M OTH,6,75+,2,Male,4,OTH,Kidney and Renal Pelvis,458,874690,52.361,8.168
1,25-34y F NHW,1,25-34,1,Female,1,NHW,Liver and Intrahepatic Bile Duct,129,18100000,0.714,0.108
2,25-34y F NHB,1,25-34,1,Female,2,NHB,Liver and Intrahepatic Bile Duct,19,1407370,1.35,0.31
3,25-34y F HIS,1,25-34,1,Female,3,HIS,Liver and Intrahepatic Bile Duct,21,2646931,0.793,0.219
4,25-34y F OTH,1,25-34,1,Female,4,OTH,Liver and Intrahepatic Bile Duct,0,377180,0,0
5,25-34y M NHW,1,25-34,2,Male,1,NHW,Liver and Intrahepatic Bile Duct,153,24600000,0.622,0.101
6,25-34y M NHB,1,25-34,2,Male,2,NHB,Liver and Intrahepatic Bile Duct,65,2444886,2.659,0.466
7,25-34y M HIS,1,25-34,2,Male,3,HIS,Liver and Intrahepatic Bile Duct,44,2567271,1.714,0.316
8,25-34y M OTH,1,25-34,2,Male,4,OTH,Liver and Intrahepatic Bile Duct,66,2241853,2.944,0.663
9,35-44y F NHW,2,35-44,1,Female,1,NHW,Liver and Intrahepatic Bile Duct,129,18100000,0.714,0.108
10,35-44y F NHB,2,35-44,1,Female,2,NHB,Liver and Intrahepatic Bile Duct,19,1407370,1.35,0.31
11,35-44y F HIS,2,35-44,1,Female,3,HIS,Liver and Intrahepatic Bile Duct,21,2646931,0.793,0.219
12,35-44y F OTH,2,35-44,1,Female,4,OTH,Liver and Intrahepatic Bile Duct,0,377180,0,0
13,35-44y M NHW,2,35-44,2,Male,1,NHW,Liver and Intrahepatic Bile Duct,153,24600000,0.622,0.101
14,35-44y M NHB,2,35-44,2,Male,2,NHB,Liver and Intrahepatic Bile Duct,65,2444886,2.659,0.466
15,35-44y M HIS,2,35-44,2,Male,3,HIS,Liver and Intrahepatic Bile Duct,44,2567271,1.714,0.316
16,35-44y M OTH,2,35-44,2,Male,4,OTH,Liver and Intrahepatic Bile Duct,66,2241853,2.944,0.663
17,45-54y F NHW,3,45-54,1,Female,1,NHW,Liver and Intrahepatic Bile Duct,457,14700000,3.102,0.203
18,45-54y F NHB,3,45-54,1,Female,2,NHB,Liver and Intrahepatic Bile Duct,148,2885488,5.129,0.594
19,45-54y F HIS,3,45-54,1,Female,3,HIS,Liver and Intrahepatic Bile Duct,136,2789996,4.875,0.609
20,45-54y F OTH,3,45-54,1,Female,4,OTH,Liver and Intrahepatic Bile Duct,42,1258082,3.338,0.73
21,45-54y M NHW,3,45-54,2,Male,1,NHW,Liver and Intrahepatic Bile Duct,1483,14500000,10.201,0.369
22,45-54y M NHB,3,45-54,2,Male,2,NHB,Liver and Intrahepatic Bile Duct,380,2549908,14.903,1.079
23,45-54y M HIS,3,45-54,2,Male,3,HIS,Liver and Intrahepatic Bile Duct,529,2793225,18.939,1.197
24,45-54y M OTH,3,45-54,2,Male,4,OTH,Liver and Intrahepatic Bile Duct,228,1195835,19.066,2.315
25,55-64y F NHW,4,55-64,1,Female,1,NHW,Liver and Intrahepatic Bile Duct,1326,14700000,9.044,0.353
26,55-64y F NHB,4,55-64,1,Female,2,NHB,Liver and Intrahepatic Bile Duct,458,2394848,19.124,1.27
27,55-64y F HIS,4,55-64,1,Female,3,HIS,Liver and Intrahepatic Bile Duct,304,1856871,16.372,1.359
28,55-64y F OTH,4,55-64,1,Female,4,OTH,Liver and Intrahepatic Bile Duct,147,1111640,13.224,2.077
29,55-64y M NHW,4,55-64,2,Male,1,NHW,Liver and Intrahepatic Bile Duct,5285,14000000,37.793,0.738
30,55-64y M NHB,4,55-64,2,Male,2,NHB,Liver and Intrahepatic Bile Duct,1638,2000803,81.867,2.906
31,55-64y M HIS,4,55-64,2,Male,3,HIS,Liver and Intrahepatic Bile Duct,1071,1665910,64.289,2.806
32,55-64y M OTH,4,55-64,2,Male,4,OTH,Liver and Intrahepatic Bile Duct,522,987955,52.836,4.847
33,65-74y F NHW,5,65-74,1,Female,1,NHW,Liver and Intrahepatic Bile Duct,3054,19500000,15.629,0.647
34,65-74y F NHB,5,65-74,1,Female,2,NHB,Liver and Intrahepatic Bile Duct,463,2329909,19.872,2.091
35,65-74y F HIS,5,65-74,1,Female,3,HIS,Liver and Intrahepatic Bile Duct,698,1778787,39.24,3.452
36,65-74y F OTH,5,65-74,1,Female,4,OTH,Liver and Intrahepatic Bile Duct,404,1072475,37.67,4.781
37,65-74y M NHW,5,65-74,2,Male,1,NHW,Liver and Intrahepatic Bile Duct,5945,15600000,38.192,1.122
38,65-74y M NHB,5,65-74,2,Male,2,NHB,Liver and Intrahepatic Bile Duct,935,1542829,60.603,4.111
39,65-74y M HIS,5,65-74,2,Male,3,HIS,Liver and Intrahepatic Bile Duct,1104,1331044,82.942,5.594
40,65-74y M OTH,5,65-74,2,Male,4,OTH,Liver and Intrahepatic Bile Duct,717,857420,83.623,8.263
41,75y+ F NHW,6,75+,1,Female,1,NHW,Liver and Intrahepatic Bile Duct,3054,19500000,15.629,0.647
42,75y+ F NHB,6,75+,1,Female,2,NHB,Liver and Intrahepatic Bile Duct,463,2329909,19.872,2.091
43,75y+ F HIS,6,75+,1,Female,3,HIS,Liver and Intrahepatic Bile Duct,698,1778787,39.24,3.452
44,75y+ F OTH,6,75+,1,Female,4,OTH,Liver and Intrahepatic Bile Duct,404,1072475,37.67,4.781
45,75y+ M NHW,6,75+,2,Male,1,NHW,Liver and Intrahepatic Bile Duct,5945,15600000,38.192,1.122
46,75y+ M NHB,6,75+,2,Male,2,NHB,Liver and Intrahepatic Bile Duct,935,1542829,60.603,4.111
47,75y+ M HIS,6,75+,2,Male,3,HIS,Liver and Intrahepatic Bile Duct,1104,1331044,82.942,5.594
48,75y+ M OTH,6,75+,2,Male,4,OTH,Liver and Intrahepatic Bile Duct,717,857420,83.623,8.263
1,25-34y F NHW,1,25-34,1,Female,1,NHW,Thyroid,8514,30600000,27.869,0.678
2,25-34y F NHB,1,25-34,1,Female,2,NHB,Thyroid,141,5220310,2.701,0.461
3,25-34y F HIS,1,25-34,1,Female,3,HIS,Thyroid,1834,9242684,19.843,1.06
4,25-34y F OTH,1,25-34,1,Female,4,OTH,Thyroid,952,3996478,23.821,2.2
5,25-34y M NHW,1,25-34,2,Male,1,NHW,Thyroid,2026,31200000,6.497,0.325
6,25-34y M NHB,1,25-34,2,Male,2,NHB,Thyroid,901,7484062,12.039,0.915
7,25-34y M HIS,1,25-34,2,Male,3,HIS,Thyroid,356,10300000,3.446,0.427
8,25-34y M OTH,1,25-34,2,Male,4,OTH,Thyroid,216,3458680,6.245,0.955
9,35-44y F NHW,2,35-44,1,Female,1,NHW,Thyroid,8514,30600000,27.869,0.678
10,35-44y F NHB,2,35-44,1,Female,2,NHB,Thyroid,141,5220310,2.701,0.461
11,35-44y F HIS,2,35-44,1,Female,3,HIS,Thyroid,1834,9242684,19.843,1.06
12,35-44y F OTH,2,35-44,1,Female,4,OTH,Thyroid,952,3996478,23.821,2.2
13,35-44y M NHW,2,35-44,2,Male,1,NHW,Thyroid,2026,31200000,6.497,0.325
14,35-44y M NHB,2,35-44,2,Male,2,NHB,Thyroid,901,7484062,12.039,0.915
15,35-44y M HIS,2,35-44,2,Male,3,HIS,Thyroid,356,10300000,3.446,0.427
16,35-44y M OTH,2,35-44,2,Male,4,OTH,Thyroid,216,3458680,6.245,0.955
17,45-54y F NHW,3,45-54,1,Female,1,NHW,Thyroid,5696,14700000,38.669,0.724
18,45-54y F NHB,3,45-54,1,Female,2,NHB,Thyroid,147,2549908,5.765,0.672
19,45-54y F HIS,3,45-54,1,Female,3,HIS,Thyroid,1001,2838636,35.263,1.855
20,45-54y F OTH,3,45-54,1,Female,4,OTH,Thyroid,536,1439250,37.242,3.019
21,45-54y M NHW,3,45-54,2,Male,1,NHW,Thyroid,1888,14500000,12.987,0.423
22,45-54y M NHB,3,45-54,2,Male,2,NHB,Thyroid,667,2885488,23.116,1.265
23,45-54y M HIS,3,45-54,2,Male,3,HIS,Thyroid,229,2918234,7.847,0.756
24,45-54y M OTH,3,45-54,2,Male,4,OTH,Thyroid,106,1109784,9.551,1.315
25,55-64y F NHW,4,55-64,1,Female,1,NHW,Thyroid,5117,14700000,34.901,0.689
26,55-64y F NHB,4,55-64,1,Female,2,NHB,Thyroid,154,2000803,7.697,0.886
27,55-64y F HIS,4,55-64,1,Female,3,HIS,Thyroid,646,1796973,35.949,2.005
28,55-64y F OTH,4,55-64,1,Female,4,OTH,Thyroid,388,1178370,32.927,3.188
29,55-64y M NHW,4,55-64,2,Male,1,NHW,Thyroid,2176,14000000,15.561,0.472
30,55-64y M NHB,4,55-64,2,Male,2,NHB,Thyroid,679,2394848,28.353,1.545
31,55-64y M HIS,4,55-64,2,Male,3,HIS,Thyroid,208,1724055,12.065,1.203
32,55-64y M OTH,4,55-64,2,Male,4,OTH,Thyroid,123,852728,14.424,1.846
33,65-74y F NHW,5,65-74,1,Female,1,NHW,Thyroid,5052,19500000,25.854,0.781
34,65-74y F NHB,5,65-74,1,Female,2,NHB,Thyroid,170,1417145,11.996,1.779
35,65-74y F HIS,5,65-74,1,Female,3,HIS,Thyroid,573,1789085,32.028,2.859
36,65-74y F OTH,5,65-74,1,Female,4,OTH,Thyroid,352,1072475,32.821,4.175
37,65-74y M NHW,5,65-74,2,Male,1,NHW,Thyroid,2815,15600000,18.084,0.731
38,65-74y M NHB,5,65-74,2,Male,2,NHB,Thyroid,597,2329909,25.623,2.208
39,65-74y M HIS,5,65-74,2,Male,3,HIS,Thyroid,172,1098494,15.658,2.09
40,65-74y M OTH,5,65-74,2,Male,4,OTH,Thyroid,130,721703,18.013,3.191
41,75y+ F NHW,6,75+,1,Female,1,NHW,Thyroid,5052,19500000,25.854,0.781
42,75y+ F NHB,6,75+,1,Female,2,NHB,Thyroid,170,1417145,11.996,1.779
43,75y+ F HIS,6,75+,1,Female,3,HIS,Thyroid,573,1789085,32.028,2.859
44,75y+ F OTH,6,75+,1,Female,4,OTH,Thyroid,352,1072475,32.821,4.175
45,75y+ M NHW,6,75+,2,Male,1,NHW,Thyroid,2815,15600000,18.084,0.731
46,75y+ M NHB,6,75+,2,Male,2,NHB,Thyroid,597,2329909,25.623,2.208
47,75y+ M HIS,6,75+,2,Male,3,HIS,Thyroid,172,1098494,15.658,2.09
48,75y+ M OTH,6,75+,2,Male,4,OTH,Thyroid,130,721703,18.013,3.191
1,25-34y F NHW,1,25-34,1,Female,1,NHW,Ovary,1226,30600000,4.013,0.256
2,25-34y F NHB,1,25-34,1,Female,2,NHB,Ovary,220,7484062,2.94,0.453
3,25-34y F HIS,1,25-34,1,Female,3,HIS,Ovary,335,9420680,3.556,0.451
4,25-34y F OTH,1,25-34,1,Female,4,OTH,Ovary,124,2313673,5.359,0.837
5,25-34y M NHW,1,25-34,2,Male,1,NHW,Ovary,0,0,0,0
6,25-34y M NHB,1,25-34,2,Male,2,NHB,Ovary,0,0,0,0
7,25-34y M HIS,1,25-34,2,Male,3,HIS,Ovary,0,0,0,0
8,25-34y M OTH,1,25-34,2,Male,4,OTH,Ovary,0,0,0,0
9,35-44y F NHW,2,35-44,1,Female,1,NHW,Ovary,1226,30600000,4.013,0.256
10,35-44y F NHB,2,35-44,1,Female,2,NHB,Ovary,220,7484062,2.94,0.453
11,35-44y F HIS,2,35-44,1,Female,3,HIS,Ovary,335,9420680,3.556,0.451
12,35-44y F OTH,2,35-44,1,Female,4,OTH,Ovary,124,2313673,5.359,0.837
13,35-44y M NHW,2,35-44,2,Male,1,NHW,Ovary,0,0,0,0
14,35-44y M NHB,2,35-44,2,Male,2,NHB,Ovary,0,0,0,0
15,35-44y M HIS,2,35-44,2,Male,3,HIS,Ovary,0,0,0,0
16,35-44y M OTH,2,35-44,2,Male,4,OTH,Ovary,0,0,0,0
17,45-54y F NHW,3,45-54,1,Female,1,NHW,Ovary,2475,14700000,16.802,0.475
18,45-54y F NHB,3,45-54,1,Female,2,NHB,Ovary,364,2885488,12.615,0.934
19,45-54y F HIS,3,45-54,1,Female,3,HIS,Ovary,387,2765758,13.993,1.017
20,45-54y F OTH,3,45-54,1,Female,4,OTH,Ovary,256,1439250,17.787,2.237
21,45-54y M NHW,3,45-54,2,Male,1,NHW,Ovary,0,0,0,0
22,45-54y M NHB,3,45-54,2,Male,2,NHB,Ovary,0,0,0,0
23,45-54y M HIS,3,45-54,2,Male,3,HIS,Ovary,0,0,0,0
24,45-54y M OTH,3,45-54,2,Male,4,OTH,Ovary,0,0,0,0
25,55-64y F NHW,4,55-64,1,Female,1,NHW,Ovary,3730,14700000,25.441,0.591
26,55-64y F NHB,4,55-64,1,Female,2,NHB,Ovary,479,2394848,20.001,1.3
27,55-64y F HIS,4,55-64,1,Female,3,HIS,Ovary,412,1829574,22.519,1.585
28,55-64y F OTH,4,55-64,1,Female,4,OTH,Ovary,224,1093574,20.483,2.475
29,55-64y M NHW,4,55-64,2,Male,1,NHW,Ovary,0,0,0,0
30,55-64y M NHB,4,55-64,2,Male,2,NHB,Ovary,0,0,0,0
31,55-64y M HIS,4,55-64,2,Male,3,HIS,Ovary,0,0,0,0
32,55-64y M OTH,4,55-64,2,Male,4,OTH,Ovary,0,0,0,0
33,65-74y F NHW,5,65-74,1,Female,1,NHW,Ovary,8024,19500000,41.064,1.037
34,65-74y F NHB,5,65-74,1,Female,2,NHB,Ovary,762,2329909,32.705,2.705
35,65-74y F HIS,5,65-74,1,Female,3,HIS,Ovary,566,1788285,31.65,3.043
36,65-74y F OTH,5,65-74,1,Female,4,OTH,Ovary,265,1072475,24.709,3.892
37,65-74y M NHW,5,65-74,2,Male,1,NHW,Ovary,0,0,0,0
38,65-74y M NHB,5,65-74,2,Male,2,NHB,Ovary,0,0,0,0
39,65-74y M HIS,5,65-74,2,Male,3,HIS,Ovary,0,0,0,0
40,65-74y M OTH,5,65-74,2,Male,4,OTH,Ovary,0,0,0,0
41,75y+ F NHW,6,75+,1,Female,1,NHW,Ovary,8024,19500000,41.064,1.037
42,75y+ F NHB,6,75+,1,Female,2,NHB,Ovary,762,2329909,32.705,2.705
43,75y+ F HIS,6,75+,1,Female,3,HIS,Ovary,566,1788285,31.65,3.043
44,75y+ F OTH,6,75+,1,Female,4,OTH,Ovary,265,1072475,24.709,3.892
45,75y+ M NHW,6,75+,2,Male,1,NHW,Ovary,0,0,0,0
46,75y+ M NHB,6,75+,2,Male,2,NHB,Ovary,0,0,0,0
47,75y+ M HIS,6,75+,2,Male,3,HIS,Ovary,0,0,0,0
48,75y+ M OTH,6,75+,2,Male,4,OTH,Ovary,0,0,0,0
1,25-34y F NHW,1,25-34,1,Female,1,NHW,Corpus Uteri,1747,30600000,5.718,0.306
2,25-34y F NHB,1,25-34,1,Female,2,NHB,Corpus Uteri,308,5720433,5.384,0.619
3,25-34y F HIS,1,25-34,1,Female,3,HIS,Corpus Uteri,583,7435046,7.841,0.674
4,25-34y F OTH,1,25-34,1,Female,4,OTH,Corpus Uteri,257,3153849,8.149,1.396
5,25-34y M NHW,1,25-34,2,Male,1,NHW,Corpus Uteri,0,0,0,0
6,25-34y M NHB,1,25-34,2,Male,2,NHB,Corpus Uteri,0,0,0,0
7,25-34y M HIS,1,25-34,2,Male,3,HIS,Corpus Uteri,0,0,0,0
8,25-34y M OTH,1,25-34,2,Male,4,OTH,Corpus Uteri,0,0,0,0
9,35-44y F NHW,2,35-44,1,Female,1,NHW,Corpus Uteri,1747,30600000,5.718,0.306
10,35-44y F NHB,2,35-44,1,Female,2,NHB,Corpus Uteri,308,5720433,5.384,0.619
11,35-44y F HIS,2,35-44,1,Female,3,HIS,Corpus Uteri,583,7435046,7.841,0.674
12,35-44y F OTH,2,35-44,1,Female,4,OTH,Corpus Uteri,257,3153849,8.149,1.396
13,35-44y M NHW,2,35-44,2,Male,1,NHW,Corpus Uteri,0,0,0,0
14,35-44y M NHB,2,35-44,2,Male,2,NHB,Corpus Uteri,0,0,0,0
15,35-44y M HIS,2,35-44,2,Male,3,HIS,Corpus Uteri,0,0,0,0
16,35-44y M OTH,2,35-44,2,Male,4,OTH,Corpus Uteri,0,0,0,0
17,45-54y F NHW,3,45-54,1,Female,1,NHW,Corpus Uteri,5247,14700000,35.621,0.688
18,45-54y F NHB,3,45-54,1,Female,2,NHB,Corpus Uteri,594,2885488,20.586,1.192
19,45-54y F HIS,3,45-54,1,Female,3,HIS,Corpus Uteri,843,2716476,31.033,1.527
20,45-54y F OTH,3,45-54,1,Female,4,OTH,Corpus Uteri,462,1439250,32.1,2.969
21,45-54y M NHW,3,45-54,2,Male,1,NHW,Corpus Uteri,0,0,0,0
22,45-54y M NHB,3,45-54,2,Male,2,NHB,Corpus Uteri,0,0,0,0
23,45-54y M HIS,3,45-54,2,Male,3,HIS,Corpus Uteri,0,0,0,0
24,45-54y M OTH,3,45-54,2,Male,4,OTH,Corpus Uteri,0,0,0,0
25,55-64y F NHW,4,55-64,1,Female,1,NHW,Corpus Uteri,12692,14700000,86.567,1.09
26,55-64y F NHB,4,55-64,1,Female,2,NHB,Corpus Uteri,1818,2394848,75.913,2.555
27,55-64y F HIS,4,55-64,1,Female,3,HIS,Corpus Uteri,1270,1889308,67.22,3.804
28,55-64y F OTH,4,55-64,1,Female,4,OTH,Corpus Uteri,695,1178370,58.98,4.566
29,55-64y M NHW,4,55-64,2,Male,1,NHW,Corpus Uteri,0,0,0,0
30,55-64y M NHB,4,55-64,2,Male,2,NHB,Corpus Uteri,0,0,0,0
31,55-64y M HIS,4,55-64,2,Male,3,HIS,Corpus Uteri,0,0,0,0
32,55-64y M OTH,4,55-64,2,Male,4,OTH,Corpus Uteri,0,0,0,0
33,65-74y F NHW,5,65-74,1,Female,1,NHW,Corpus Uteri,16489,19500000,84.385,1.428
34,65-74y F NHB,5,65-74,1,Female,2,NHB,Corpus Uteri,2159,2329909,92.665,4.309
