foodcode,description
75500110,"Beans, string, green, pickled"
67404500,"Mixed fruit yogurt dessert, baby food, strained"
27246200,Chicken or turkey with stuffing
28351110,"Fish and vegetable soup, no potatoes, Mexican style"
75214029,"Cauliflower, cooked, from fresh, made with margarine"
21602010,"Beef, dried, chipped, cooked in fat"
71603020,"Potato salad, made with mayonnaise-type salad dressing"
26141160,"Sea bass, steamed or poached"
55703000,Cake made with glutinous rice and dried beans
58161200,"Rice, cooked with coconut milk"
27416200,"Beef, ground, with egg and onion"
27250810,Fish and rice with tomato-based sauce
11720619,"Infant formula, powder, made with baby water (Gerber Good Start Soy)"
57231000,Cereal (Post Grape-Nuts Flakes)
27540240,"Chicken fillet, broiled, sandwich, on whole wheat roll, with lettuce, tomato and spread"
57106050,Cereal (Post Great Grains Banana Nut Crunch)
58106540,"Pizza with pepperoni, from restaurant or fast food, NS as to type of crust"
27510160,"Cheeseburger, 1 small patty, plain, on bun, from fast food / restaurant"
27515070,"Steak and cheese submarine sandwich, with fried peppers and onions, on roll"
54408410,"Pretzels, soft, ready-to-eat, salted, buttered"
28310170,"Beef broth, without tomato, home recipe"
42302055,"Peanut butter and jelly sandwich, with reduced fat peanut butter, regular jelly, on white bread"
24122150,"Chicken breast, baked or broiled, skin eaten, from fast food / restaurant"
75205012,"Beans, string, green, cooked, from frozen, NS as to fat added in cooking"
71401050,"Potato, french fries, with chili and cheese, fast food / restaurant"
93301216,Vodka and energy drink
33001020,"Egg substitute, omelet, scrambled, or fried, made with butter"
27460710,"Livers, chicken, chopped, with eggs and onion"
56207017,"Cream of wheat, regular or quick, made with water, fat added in cooking"
27341520,"Chicken or turkey stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato- based sauce"
95201010,"Nutritional powder mix, sugar free (Carnation Instant Breakfast)"
41101100,"White beans, dry, cooked, NS as to fat added in cooking"
75203020,"Bamboo shoots, cooked, fat added in cooking"
93301240,Black Russian
75233220,"Squash, spaghetti, cooked, fat not added in cooking"
54102060,"Crackers, Cuban"
23326100,"Bison, cooked"
55208000,"Waffle, gluten free"
73410200,"Sweet potato fries, NFS"
57229000,Cereal (Kellogg's Low Fat Granola)
75403022,"Beans, string, green, cooked, from frozen, with mushroom sauce"
28144100,"Chicken and vegetable entree with noodles and cream sauce, frozen meal"
58161442,"Rice, brown, with peas and carrots, fat not added in cooking"
27120060,Sweet and sour pork
25160000,"Tongue, cooked"
13210270,"Custard, Puerto Rican style"
24203020,"Turkey, wing, cooked, skin eaten"
93301075,Greyhound
75232100,"Seaweed, cooked, NS as to fat added in cooking"
26119130,"Herring, coated, baked or broiled, fat added in cooking"
92121030,"Coffee, mocha, instant, pre-lightened and pre-sweetened with low calorie sweetener, reconstituted"
27311320,"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce"
13200110,"Pudding, NFS"
58201005,"Jelly sandwich, regular jelly, on white bread"
26151120,"Trout, baked or broiled, made with oil"
92130021,"Coffee, decaffeinated, pre-sweetened with sugar"
28113140,"Beef with spaetzle or rice, vegetable, frozen meal"
93301360,Long Island iced tea
93301142,Seven and Seven
41104110,"Pinto, calico, or red Mexican beans, canned, drained, low sodium, fat added in cooking"
67309030,"Bananas and strawberry, baby food, junior"
75205042,"Beans, string, green, cooked, NS as to form, made with butter"
55301020,"French toast, whole grain, reduced fat"
13220210,"Pudding, flavors other than chocolate, prepared from dry mix, low calorie, containing artificial sweetener, milk added"
54408015,"Pretzels, hard, NFS"
75224133,"Peas, green, canned, low sodium, made with margarine"
26303120,"Clams, baked or broiled, fat added in cooking"
24157302,"Chicken thigh, fried, coated, prepared skinless, coating eaten, from raw"
27313010,"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce"
58161432,"Rice, brown, with peas, fat not added in cooking"
24157321,"Chicken thigh, fried, coated, skin / coating not eaten, from fast food"
62101100,"Apple, dried, uncooked"
24103000,"Chicken, NS as to part, stewed, NS as to skin eaten"
23150100,"Goat, boiled"
24152240,"Chicken thigh, baked or broiled, skin eaten, from pre-cooked"
75316023,"Squash, summer, yellow or green, and onions, cooked, made with butter"
91800100,"Chewing gum, NFS"
11514330,"Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk"
53714220,"Cereal or granola bar with nuts, chocolate coated"
53420400,"Sopaipilla, without syrup or honey"
27510705,"Chiliburger, with or without cheese, on bun"
28345130,"Chicken or turkey soup, cream of, prepared with water"
27313410,"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy"
61101220,"Grapefruit, canned or frozen, unsweetened, water pack"
56201092,"Grits, with cheese, fat added in cooking"
58148114,"Macaroni or pasta salad, made with Italian dressing"
75307002,"Green peppers and onions, cooked, made with butter"
27460750,"Liver, beef or calves, and onions"
27540361,"Turkey and bacon submarine sandwich, with cheese, lettuce, tomato and spread"
73410320,"Sweet potato fries, frozen, baked"
58101733,"Taco or tostada with meat and beans, from fast food"
75311030,"Mixed vegetables, cooked, from canned, made with oil"
92171010,"Coffee, bottled/canned, light"
14640165,"Grilled cheese sandwich, reduced fat American cheese, on whole wheat bread"
58106635,"Pizza, with meat other than pepperoni, from school lunch, thin crust"
11511610,"Chocolate milk, ready to drink, fat free (Nesquik)"
93504100,Rum cooler
75234028,"Turnip, cooked, from fresh, made with butter"
26158011,"Tilapia, baked or broiled, made with butter"
53200100,"Cookie, batter or dough, raw"
14203510,Puerto Rican white cheese
41106110,"Red kidney beans, canned, drained, low sodium, fat added in cooking"
92510720,"Fruit punch, made with fruit juice and soda"
62106000,"Cherries, dried"
24103010,"Chicken, NS as to part, stewed, skin eaten"
24142321,"Chicken drumstick, baked or broiled, skin not eaten, from fast food / restaurant"
11720808,"Infant formula, powder, made with plain bottled water (Store Brand Soy)"
27640810,"Chicken, noodles, and vegetables, baby food, toddler"
24127201,"Chicken breast, fried, coated, skin / coating not eaten, from raw"
75219011,"Mushrooms, cooked, from fresh, fat not added in cooking"
32400055,"Egg white omelet, scrambled, or fried, NS as to fat added in cooking"
25221220,"Pastrami, made from any kind of meat, reduced fat"
32131030,"Egg omelet or scrambled egg, with cheese, meat, and dark-green vegetables, fat added in cooking"
75205131,"Beans, string, green, canned, low sodium, made with oil"
63301010,Ambrosia
27120250,Frankfurters or hot dogs with tomato-based sauce
13230140,"Pudding, ready-to-eat, low calorie, containing artificial sweetener, chocolate"
13120760,"Ice cream cone, chocolate covered or dipped, chocolate ice cream"
27510431,"Double bacon cheeseburger, 2 small patties, with condiments, on bun, from fast food / restaurant (Burger King Bacon Double Cheeseburger)"
42302160,"Peanut butter and jelly sandwich, with reduced fat peanut butter, reduced sugar jelly, on wheat bread"
32130320,"Egg omelet or scrambled egg, with cheese and meat, made with butter"
58164510,"Rice, white, with cheese and/or cream based sauce, fat not added in cooking"
27564110,"Frankfurter or hot dog sandwich, beef, plain, on multigrain bread"
28110350,"Salisbury steak with gravy, potatoes, vegetable, dessert, frozen meal"
75205000,"Beans, string, cooked, NS as to form, NS as to color, NS as to fat added in cooking"
75216141,"Corn, yellow, cooked, from canned, made with oil"
21104130,"Beef steak, battered, fried, lean only eaten"
11513380,"Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)"
58100235,Burrito with chicken and sour cream
41102030,"Black, brown, or Bayo beans, canned, drained, NS as to fat added in cooking"
58146341,"Pasta with tomato-based sauce and poultry, restaurant"
58126270,"Turnover, chicken- or turkey-, and cheese-filled, no gravy"
25221408,"Pork sausage, reduced sodium"
27642110,"Turkey, rice and vegetables, baby food, strained"
76201020,"Carrots, baby food, junior"
76205030,"Squash and corn, baby food, strained"
75216136,"Corn, yellow, cooked, from fresh, made with margarine"
27545110,"Turkey or chicken burger, plain, on wheat bun"
26107110,"Catfish, cooked, NS as to cooking method"
72201202,"Broccoli, cooked, from frozen, NS as to fat added in cooking"
55300060,"French toast, from school, NFS"
28340220,"Chicken soup with noodles and potatoes, Puerto Rican style"
27150320,Fish curry
58161434,"Rice, brown, with peas, fat added in cooking"
61119020,"Orange, sections, canned, juice pack"
27341025,"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy"
26141140,"Sea bass, coated, fried"
92309050,"Tea, iced, bottled, black, decaffeinated, unsweetened"
53713100,"Cereal or granola bar, peanuts , oats, sugar, wheat germ"
21305000,"Beef, cow head, cooked"
58104550,Chimichanga with chicken and sour cream
27450700,"Fish and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce"
27510391,"Double cheeseburger, 2 small patties, with condiments, on bun, from fast food / restaurant (Wendy's Double Stack)"
75204970,"Beans, string, cooked, from canned, NS as to color, made with butter"
91731060,M&M's Peanut Butter Chocolate Candies
53346500,"Pie, pineapple cream"
91713040,"Fudge, chocolate, with nuts"
72122201,"Mustard greens, cooked, from fresh, NS as to fat added in cooking"
58146692,"Pasta, whole grain, with cream sauce, and added vegetables, home recipe"
11830115,"Hot chocolate / Cocoa, dry mix, no sugar added, not reconstituted"
26115124,"Flounder, baked or broiled, made with cooking spray"
92130031,"Coffee, decaffeinated, pre-sweetened with low calorie sweetener"
75226040,"Peppers, red, cooked, NS as to fat added in cooking"
75330151,"Vegetable combination, excluding carrots, broccoli, and dark-green leafy; cooked, no sauce, made with oil"
27520170,Bacon on biscuit
75224047,"Peas, green, cooked, from frozen, made with butter"
27510231,"Cheeseburger, 1 medium patty, with condiments, on bun, from fast food / restaurant (Burger King WHOPPER with cheese)"
72118211,"Greens, cooked, from fresh, fat not added in cooking"
92307400,"Tea, iced, instant, black, pre-sweetened, dry"
27414100,"Beef with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, mushroom sauce"
67101020,"Apple-raspberry, baby food, junior"
67308020,"Bananas, baby food, junior"
92102501,"Coffee, Iced Latte, nonfat"
27430610,"Lamb shish kabob with vegetables, excluding potatoes"
92101923,"Frozen coffee drink, with non-dairy milk"
24198440,Chicken skin
26123120,"Mullet, baked or broiled, fat added in cooking"
75409010,"Cauliflower, NS as to form, creamed"
72122227,"Mustard greens, cooked, from fresh, made with oil"
26319170,"Shrimp, dried"
27111430,"Chili con carne, NS as to beans, with cheese"
58116210,"Meat pie, Puerto Rican style"
58148150,Macaroni or pasta salad with shrimp
28355120,"Clam chowder, New England, prepared with milk"
75226050,"Peppers, red, cooked, fat not added in cooking"
75219001,"Mushrooms, cooked, from fresh, NS as to fat added in cooking"
73402022,"Sweet potato, baked, peel eaten, made with butter"
57305180,Cereal (Malt-O-Meal Corn Bursts)
92900110,"Fruit flavored drink, powdered, not reconstituted"
58146682,"Pasta, whole grain, with cream sauce, home recipe"
57143500,"Cereal (Post Great Grains, Cranberry Almond Crunch)"
75216300,"Corn, yellow, canned, low sodium, NS as to fat added in cooking"
41102110,"Black, brown, or Bayo beans, canned, drained, low sodium, fat added in cooking"
52208010,"Corn pone, baked"
91301081,"Chocolate syrup, thin type, light"
93301125,Mojito
75212000,"Cabbage, red, cooked, NS as to fat added in cooking"
22321110,"Ham, smoked or cured, ground patty"
58116310,"Cheese turnover, Puerto Rican style"
21003000,"Beef, NS as to cut, fried, NS to fat eaten"
73405020,"Sweet potato, boiled, fat added in cooking, NS as to type of fat"
26117120,"Haddock, baked or broiled, fat added in cooking"
58100245,"Burrito with chicken, beans, and sour cream"
27451070,"Codfish salad, Puerto Rican style, Serenata"
27510242,"Cheeseburger, 1 medium patty, plain, on wheat bun"
57221810,Cereal (General Mills Cheerios Fruity)
53720600,Nutrition bar (South Beach Living Meal Bar)
58103310,Tamale casserole with meat
58104180,"Nachos with meat, cheese, and sour cream"
52101030,"Biscuit dough, fried"
32101530,Egg curry
27121410,"Chili con carne with beans, made with pork"
24701000,"Chicken, baby food, NS as to strained or junior"
24703010,"Turkey, baby food, strained"
58104720,"Quesadilla, just cheese, from fast food"
27341320,"Chicken or turkey stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"
56202905,"Oatmeal, from fast food, maple flavored"
27510676,"Double hamburger, 2 medium patties, with condiments, on bun, from fast food / restaurant"
73101210,"Carrots, raw, salad with apples"
27212400,Beef and noodles with mushroom sauce
75315999,"Squash, summer, yellow or green, and onions, cooked, NS as to fat added in cooking"
75233222,"Squash, spaghetti, cooked, made with butter"
28501110,"Gravy, poultry, fat free"
26133120,"Porgy, baked or broiled, fat added in cooking"
92102503,"Coffee, Iced Latte, flavored"
56201517,"Cornmeal mush, fat added in cooking"
22820000,"Meat stick, baby food"
24706010,"Turkey stick, baby food"
72101210,"Beet greens, cooked, fat not added in cooking"
57341000,Cereal (Post Shredded Wheat'n Bran)
27150151,Spaghetti sauce with seafood
32131020,"Egg omelet or scrambled egg, with cheese, meat, and tomatoes, NS as to fat added in cooking"
58101940,"Taco or tostada salad, meatless"
92307000,"Tea, iced, instant, black, unsweetened, dry"
27564300,"Frankfurter or hot dog sandwich, reduced fat or light, plain, on white bun"
23321100,"Venison/deer, roasted"
27212300,Beef and noodles with cream or white sauce
63123020,"Grapes, American type, slip skin, raw"
91708010,Date candy
75607140,"Mushroom soup, cream of, canned, reduced sodium, prepared with water"
75128000,"Squash, summer, yellow, raw"
13220235,"Pudding, ready-to-eat, chocolate, fat free"
91550300,"Pineapple custard, Puerto Rican style"
58135110,Chow fun noodles with meat and vegetables
56205330,"Rice, white and wild, cooked, NS as to fat added in cooking"
12350235,"Ranch dip, light"
58101750,"Taco or tostada with chicken, beans, and sour cream"
93301183,Whiskey and diet cola
27212150,Beef goulash with noodles
58146451,"Pasta with cream sauce, seafood, and added vegetables, restaurant"
75216700,"Cucumber, cooked, NS as to fat added in cooking"
41102010,"Black, brown, or Bayo beans, dry, cooked, fat added in cooking, NS as to type of fat"
21102110,"Beef steak, fried, NS as to fat eaten"
21407110,"Beef, pot roast, braised or boiled, lean and fat eaten"
27211550,"Stewed, seasoned, ground beef with potatoes, Mexican style"
95230010,"Nutritional powder mix, protein, soy based, NFS"
41205012,"Refried beans, made with animal fat or meat drippings"
75221051,"Onions, green, cooked, from fresh, fat not added in cooking"
41303000,"Green or yellow split peas, dry, cooked, fat not added in cooking"
27545000,"Turkey or chicken burger, plain, on bun, from fast food / restaurant"
75315110,"Peas and onions, cooked, fat not added in cooking"
57806000,"Mixed cereal with bananas, baby food, dry, instant"
72201214,"Broccoli, cooked, NS as to form, made with butter"
56202000,"Millet, fat not added in cooking"
27411120,Swiss steak
75203000,"Bamboo shoots, cooked, fat not added in cooking"
27420200,Pork hash
27545010,"Turkey or chicken burger, with condiments, on bun, from fast food / restaurant"
22401020,"Pork roast, loin, cooked, lean only eaten"
26100200,"Fish, NS as to type, from fast food"
58404010,"Chicken or turkey rice soup, canned, or ready-to-serve"
75220033,"Okra, cooked, from frozen, made with margarine"
75307003,"Green peppers and onions, cooked, made with margarine"
26151140,"Trout, coated, fried, made with oil"
58106636,"Pizza, with meat other than pepperoni, from school lunch, thick crust"
32130700,"Egg omelet or scrambled egg, with cheese and vegetables other than dark green and/or tomatoes, fat not added in cooking"
27347210,"Chicken or turkey,stuffing, and vegetables excluding carrots, broccoli, and dark green leafy; no sauce"
63147130,"Rhubarb, cooked or canned, in heavy syrup"
58157300,"Congee, with meat, poultry, and/or seafood"
75224046,"Peas, green, cooked, from frozen, made with oil"
75601210,"Cabbage with meat soup, home recipe, canned or ready-to-serve"
75224030,"Peas, green, cooked, NS as to form, fat added in cooking, NS as to type of fat"
21304220,"Beef, shortribs, barbecued, with sauce, lean only eaten"
58146401,"Pasta with cream sauce and meat, restaurant"
27450090,Tuna salad with cheese
26133130,"Porgy, coated, baked or broiled, fat added in cooking"
27450710,"Fish and vegetables excluding carrots, broccoli, and dark- green leafy; no potatoes, tomato-based sauce"
28350040,"Fish stock, home recipe"
22101300,"Pork chop, breaded or floured, fried, NS as to fat eaten"
93106100,Alcoholic malt beverage
21101010,"Beef steak, NS as to cooking method, lean and fat eaten"
27315210,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce"
73201011,"Pumpkin, cooked, from fresh, fat not added in cooking"
58135120,"Chow fun noodles with vegetables, meatless"
22101020,"Pork chop, NS as to cooking method, lean only eaten"
72103060,"Broccoli raab, cooked, made with margarine"
75317000,"Vegetables, stew type, cooked, NS as to fat added in cooking"
27116300,Beef with sweet and sour sauce
14620320,Topping from meat pizza
25170110,"Tripe, cooked"
58100805,"Enchilada, just cheese, meatless, no beans, green-chile or enchilada sauce"
27345510,"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce"
58146612,"Pasta, whole grain, with tomato-based sauce and added vegetables, home recipe"
72122100,"Mustard greens, raw"
63107410,"Banana, batter-dipped, fried"
27410250,"Beef shish kabob with vegetables, excluding potatoes"
14640028,"Cheese sandwich, American cheese, on wheat bread, with mayonnaise"
75231012,"Snowpea, cooked, from frozen, fat not added in cooking"
56203160,"Oatmeal, instant, fruit flavored, fat added in cooking"
24170200,"Chicken, back"
11514150,"Hot chocolate / Cocoa, made with dry mix and non-dairy milk"
75210020,"Cabbage, Chinese, cooked, fat added in cooking, NS as to type of fat"
23101020,"Lamb chop, NS as to cut, cooked, lean only eaten"
24180200,"Chicken, neck or ribs"
25120000,"Heart, cooked"
26131140,"Pompano, coated, fried"
41302050,"Chickpeas, canned, drained, made with oil"
75201011,"Artichoke, cooked, from fresh, fat not added in cooking"
11513383,"Chocolate milk, made from dry mix with low fat milk (Nesquik)"
27221150,"Pork stew, with potatoes, tomato-based sauce, Mexican style"
71505030,"Potato tots, from fresh, fried or baked"
75202023,"Asparagus, cooked, from canned, fat added in cooking, NS as to type of fat"
27416400,Stir fried beef and vegetables in soy sauce
58151430,"Sushi, topped with shrimp"
11513200,"Chocolate milk, made from dry mix with low fat milk"
73201000,"Pumpkin, cooked, NS as to form, NS as to fat added in cooking"
27345450,"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce"
27345420,"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce"
41103012,"Lima beans, dry, cooked, made with animal fat or meat drippings"
75226700,Pimiento
72201221,"Broccoli, cooked, from fresh, fat added in cooking, NS as to type of fat"
73102221,"Carrots, cooked, from fresh, fat added in cooking, NS as to type of fat"
67408010,"Banana pudding, baby food, strained"
11541135,"Milk shake, home recipe, flavors other than chocolate, light"
27564080,"Frankfurter or hot dog sandwich, beef, plain, on wheat bread"
75219034,"Mushrooms, cooked, from fresh, made with butter"
56205016,"Rice, brown, cooked, fat added in cooking, made with margarine"
24201230,"Turkey, dark meat, roasted, skin eaten"
63207000,"Cranberries, NS as to raw, cooked, or canned"
26118020,"Halibut, baked or broiled, made with oil"
58101830,"Mexican casserole made with ground beef, tomato sauce, cheese, taco seasonings, and corn chips"
14640014,"Cheese sandwich, reduced fat American cheese, on white bread, no spread"
14640000,"Cheese sandwich, NFS"
75207021,"Bean sprouts, cooked, from fresh, fat added in cooking"
14640036,"Cheese sandwich, Cheddar cheese, on whole wheat bread, with mayonnaise"
26137131,"Salmon, coated, baked or broiled, made with butter"
75330123,"Vegetable combination, including carrots, broccoli, and/or dark-green leafy; cooked, no sauce, made with margarine"
26137121,"Salmon, baked or broiled, made with butter"
75612010,"Zucchini soup, cream of, prepared with milk"
62122220,"Prune, dried, cooked, unsweetened"
75316032,"Squash, summer, yellow or green, with tomato sauce, cooked, NS as to fat added in cooking"
57106250,Cereal (General Mills Kix Berry Berry)
75233001,"Squash, summer, yellow or green, cooked, from fresh, NS as to fat added in cooking"
27564301,"Frankfurter or hot dog sandwich, reduced fat or light, plain, on wheat bun"
75205132,"Beans, string, green, canned, low sodium, made with butter"
57301505,Cereal (Kashi Autumn Wheat)
11513400,"Chocolate milk, made from syrup, NS as to type of milk"
27315020,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce"
51501050,"Bread, oat bran, toasted"
51501020,"Bread, oatmeal, toasted"
75210000,"Cabbage, Chinese, cooked, NS as to fat added in cooking"
56201091,"Grits, with cheese, fat not added in cooking"
58160800,"Rice, white, with lentils, NS as to fat added in cooking"
74204010,"Tomatoes, NS as to form, stewed"
53801000,"Cereal bar with fruit filling, baby food"
72119210,"Kale, cooked, NS as to form, fat not added in cooking"
67104040,"Applesauce with bananas, baby food, strained"
22000110,"Pork, NS as to cut, cooked, lean and fat eaten"
27330220,"Lamb or mutton stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce"
75226093,"Peppers, hot, cooked, from canned, NS as to fat added in cooking"
56200400,"Barley, fat not added in cooking"
75311027,"Mixed vegetables, cooked, from frozen, made with oil"
75220020,"Okra, cooked, NS as to form, fat added in cooking, NS as to type of fat"
58164540,"Rice, white, with gravy, fat not added in cooking"
51107040,"Bread, French or Vienna, toasted"
75234011,"Turnip, cooked, from fresh, fat not added in cooking"
26125120,"Ocean perch, baked or broiled, fat added in cooking"
75224043,"Peas, green, cooked, from fresh, made with oil"
26151142,"Trout, coated, fried, made with margarine"
11514320,"Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk"
75417012,"Peas, from frozen, creamed"
75216232,"Corn, white, cooked, from frozen, made with oil"
75231029,"Snowpea, cooked, from frozen, made with oil"
63135130,"Peach, cooked or canned, in heavy syrup"
81101100,"Butter, stick, unsalted"
24198670,"Chicken, chicken roll, roasted"
75214028,"Cauliflower, cooked, from fresh, made with butter"
27341000,"Chicken or turkey, potatoes, corn, and cheese, with gravy"
71104030,"Potato, roasted, NFS"
71103105,"Potato, boiled, from fresh, peel eaten, NS as to fat added in cooking"
28160650,"Stuffed green pepper, frozen meal"
75226111,"Peppers, hot, cooked, from fresh, fat added in cooking, NS as to type of fat"
75233029,"Squash, summer, yellow or green, cooked, from fresh, made with margarine"
75205133,"Beans, string, green, canned, low sodium, made with margarine"
71603015,"Potato salad, made with light mayonnaise"
95106010,"Nutritional drink or shake, ready-to-drink, light (Muscle Milk)"
74202051,"Tomatoes, red, from fresh, fried"
93301550,"Eggnog, alcoholic"
23321000,"Venison/deer, NFS"
27541001,"Turkey, ham, and roast beef club sandwich with cheese, lettuce, tomato, and spread"
27213500,Beef and rice with soy-based sauce
27250128,Shrimp and noodles with soy-based sauce
75607040,"Mushroom soup, with meat broth, prepared with water"
28340580,"Chicken or turkey soup with vegetables, broccoli, carrots, celery, potatoes and onions, Asian style"
26303121,"Clams, baked or broiled, fat not added in cooking"
26309140,"Crayfish, coated, fried"
27520166,"Bacon, breaded fried chicken fillet, and tomato club sandwich with cheese, lettuce and spread"
58148117,"Macaroni or pasta salad, made with light creamy dressing"
32401000,Meringues
75216101,"Corn, yellow, cooked, from fresh, NS as to fat added in cooking"
91501060,Gelatin dessert with sour cream
25210240,"Frankfurter or hot dog, beef and pork, reduced fat or light"
11350030,"Almond milk, unsweetened, chocolate"
75440110,"Vegetable combination, excluding carrots, broccoli, and dark-green leafy; cooked, with soy-based sauce"
26123160,"Mullet, steamed or poached"
71104120,"Potato, roasted, from fresh, peel not eaten, fat not added in cooking"
56207023,"Cream of wheat, regular or quick, made with milk, fat added in cooking"
63103140,"Apricot, cooked or canned, in light syrup"
11720311,"Infant formula, ready-to-feed (Enfamil ProSobee)"
57301512,Cereal (Kashi GOLEAN Crunch Honey Almond Flax)
32130640,"Egg omelet or scrambled egg, with cheese and dark-green vegetables, fat not added in cooking"
24201420,"Turkey light or dark meat, stewed, skin eaten"
21416120,"Corned beef, cooked, lean only eaten"
56201055,"Grits, regular or quick, made with milk, NS as to fat added in cooking"
11710371,"Infant formula, ready-to-feed (Similac Sensitive)"
71104050,"Potato, roasted, from fresh, peel eaten, fat not added in cooking"
75143050,"Lettuce, salad with assorted vegetables excluding tomatoes and carrots, no dressing"
27320320,"Pork, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce"
56202910,"Oatmeal, from fast food, fruit flavored"
71930090,"Cassava, cooked, NS as to fat added in cooking"
75503140,"Cucumber pickles, sweet, reduced salt"
62104100,"Apricot, dried, uncooked"
24202500,"Turkey, thigh, cooked, skin not eaten"
26137124,"Salmon, baked or broiled, made with cooking spray"
75214031,"Cauliflower, cooked, from frozen, made with butter"
14640056,"Cheese sandwich, Cheddar cheese, on white bread, with butter"
28345160,"Chicken or turkey mushroom soup, cream of, prepared with milk"
28340750,Hot and sour soup
75439500,"Chow mein or chop suey, meatless, no noodles"
27545100,"Turkey or chicken burger, plain, on white bun"
58122330,"Knish, meat"
32400700,"Egg white, omelet, scrambled, or fried, with cheese, meat, and vegetables, fat added in cooking"
75220032,"Okra, cooked, from frozen, made with butter"
28340550,Sweet and sour soup
55205000,"Waffle, whole grain"
75403012,"Beans, string, green, from frozen, creamed or with cheese sauce"
58134160,"Stuffed shells, cheese- and spinach- filled, no sauce"
27446330,"Chicken or turkey garden salad with cheese, chicken and/or turkey, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing"
26315140,"Oysters, coated, fried"
58157210,"Rice pudding made with coconut milk, Puerto Rican style"
14640195,"Grilled cheese sandwich, reduced fat Cheddar cheese, on whole wheat bread"
57211000,Cereal (General Mills Frankenberry)
57406100,Cereal (General Mills Total)
11121300,"Milk, dry, reconstituted, fat free (skim)"
27601000,"Beef stew, baby food, toddler"
58127290,Croissant sandwich with bacon and egg
26137134,"Salmon, coated, baked or broiled, made with cooking spray"
58146693,"Pasta, whole grain, with cream sauce, and added vegetables, ready-to-heat"
41101060,"Beans, canned, drained, NS as to type, fat added in cooking"
67404110,"Banana apple dessert, baby food, strained"
24301010,"Duck, roasted, skin eaten"
73111231,"Peas and carrots, cooked, from frozen, made with butter"
41102060,"Black, brown, or Bayo beans, canned, drained, made with animal fat or meat drippings"
24201060,"Turkey, light meat, breaded, baked or fried, skin not eaten"
93201000,Cordial or liqueur
26137122,"Salmon, baked or broiled, made with margarine"
58146723,"Pasta, whole grain, with cream sauce and poultry, ready-to-heat"
21103120,"Beef steak, breaded or floured, baked or fried, lean and fat eaten"
93301083,Jagerbomb
51401030,"Bread, marble rye and pumpernickel"
32130810,"Egg omelet or scrambled egg, with meat and tomatoes, fat not added in cooking"
41812800,Vegetarian stew
21410000,"Beef, stew meat, cooked, NS as to fat eaten"
75204032,"Beans, lima, immature, cooked, from frozen, made with margarine"
91501030,Gelatin dessert with whipped cream
27120130,"Pork stew, no potatoes, tomato-based sauce, Mexican style"
13220220,"Pudding, chocolate, prepared from dry mix, low calorie, containing artificial sweetener, milk added"
71202100,"Potato chips, reduced fat, unsalted"
41812600,"Vegetarian, fillet"
72107201,"Collards, cooked, from fresh, NS as to fat added in cooking"
27311620,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce"
75216178,"Corn, yellow and white, cooked, from fresh, made with butter"
27510173,"Cheeseburger, 1 small patty, with condiments, on bun, from fast food / restaurant (Wendy's Kid's Cheeseburger)"
42202100,"Peanut butter, lower sodium and lower sugar"
56205350,"Rice, brown and wild, cooked, NS as to fat added in cooking"
56203097,"Oatmeal,  instant, plain, made with milk, fat added in cooking"
27420500,"Pork and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce"
24102060,"Chicken, NS as to part, rotisserie, skin eaten"
27564210,"Frankfurter or hot dog sandwich, meat and poultry, plain, on whole wheat bread"
41205020,Refried beans with cheese
75143300,"Lettuce, salad with egg, tomato, and/or carrots, with or without other vegetables, no dressing"
75211010,"Cabbage, green, cooked, NS as to fat added in cooking"
28143190,"Chicken in mushroom sauce, white and wild rice, vegetable, frozen meal"
27545210,"Turkey or chicken burger, with condiments, on wheat bun"
71405019,"Potato, hash brown, from fresh, with cheese"
58100525,"Enchilada with meat and beans, green-chile or enchilada sauce"
51106010,"Bread, native, water, Puerto Rican style"
